qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
F_n,X,3.1408938961304904,2.2452673968514034,4.024950599378988,1.3210254872944014,0.42058902050842106,1.0,0.7148498074441552,3.1408938961304904,9,0.6281787792260981,RETAIN
F_n,h,1.2279298072804388,0.4647124742777409,2.501938430256376,1.3302399806479193,1.0833192359700692,0.3909491526578533,0.14795548326234645,1.2279298072804388,7,0.6281787792260981,RETAIN?
F_n,w,1.3004082223321398,0.6990939499865637,1.9144452158322234,0.9208234357490146,0.7081033631866911,0.41402488123976844,0.2225780217688447,1.3004082223321398,10,0.6281787792260981,RETAIN
F_n,eps_c,0.2685020856217734,0.1448870175279446,0.42306859379231976,0.3438760887467804,1.28072036368158,0.08548588220460483,0.0461292301871267,0.017250312754572124,8,0.6281787792260981,freeze
F_n,beta,1.191846358473613,0.5713025035825249,1.849583634389089,0.8773739351003024,0.7361468438129453,0.37946087893702507,0.1818916914978747,1.191846358473613,8,0.6281787792260981,RETAIN?
F_n,K,0.22843940813751035,0.11076209474426467,0.38727379931612427,0.2012558927920451,0.8810033891827368,0.07273069886854264,0.03526451335421456,-0.22505686440300382,9,0.6281787792260981,freeze
F_n,mu_eff,0.4755839400937644,0.24599059669082932,0.7049583535133916,0.39882444125261884,0.8385994724169787,0.15141674816830744,0.07831865858120331,-0.4112920990911766,8,0.6281787792260981,freeze
F_n,phi,0.055951157883399674,0.02507153832381164,0.08896645039754218,0.07036625801757332,1.2576372085849274,0.017813768861256418,0.007982293943357718,-0.016017111486680485,7,0.6281787792260981,freeze
SCOF_mean,X,0.09928285269074515,0.0612412502551789,0.13078159270718537,0.05232773989411275,0.5270571752919685,0.15417153684498613,0.09509857356293967,0.097719835416324,9,0.12879530777535214,freeze
SCOF_mean,h,0.01114033798105086,0.002147718923706246,0.02415012394000776,0.01416173055085058,1.2712119304583893,0.017299291679914466,0.0033350887711722367,-0.010721637550196816,7,0.12879530777535214,freeze
SCOF_mean,w,0.07719259363336681,0.04351407086790426,0.1177406066682475,0.0563337585605666,0.7297819118260085,0.11986864268069142,0.06757089465371292,-0.07719259363336681,10,0.12879530777535214,freeze
SCOF_mean,eps_c,0.01785994817314924,0.00740935306625339,0.03065184733123904,0.024759234353087176,1.3862993393402097,0.02773384913105839,0.011505625778195215,-0.0009614221045514048,8,0.12879530777535214,freeze
SCOF_mean,beta,0.0741531105004847,0.04331850890549175,0.10965398276364789,0.043743378861101474,0.5899061895834504,0.11514877642875677,0.06726721594710412,-0.0741531105004847,8,0.12879530777535214,freeze
