rank,factor,rel_max,rel_mean,rank_best,rank_mean,sigma_ratio_max,rel_lo_best,n_qoi_retained,retained_in,verdict
1,X,1.0,0.7885428842112465,1,1.25,0.5270571752919685,0.7479174357853233,3,F_n;h_r;h_p,RETAIN
2,mu_eff,1.0,0.4829902547165584,1,2.75,1.4215403077862265,0.8425716459580397,3,SCOF_mean;h_r;h_p,RETAIN
3,w,0.41402488123976844,0.30967222339971034,2,2.5,0.8423738820095712,0.2399271450460957,3,F_n;h_r;h_p,RETAIN
4,h,0.3909491526578533,0.19709447628306065,3,5.5,1.2712119304583893,0.14795548326234645,2,F_n;h_p,RETAIN
5,beta,0.37946087893702507,0.25932620827925895,4,4.0,0.9013081024692069,0.2281797797838445,2,F_n;h_p,RETAIN
6,K,0.30584153163503147,0.11808972721171077,5,6.5,1.5122066024922713,0.15384058605303408,1,h_p,RETAIN
7,eps_c,0.12546656953718158,0.08352597354283935,6,6.5,1.501893377257163,nan,0,,freeze
8,phi,0.0816052298836952,0.05379519184428077,5,7.0,1.5153696575553683,nan,0,,freeze
