id,family,campaign,method,traj,step,moved,sign,status,file,fine_size_x,mass_scale,force_source,n_window,Fn_half_N,Fn_cv_pct,Ft_half_N,scof,contact_radius_mm,H_MPa,residual_depth_mm,residual_rel_pct,pile_up_mm,pile_up_max_mm,pile_up_ratio,profile_method,profile_n_fail_flags,profile_n_warn_flags,AE_over_IE_pct,KE_over_IE_pct,PW_over_IE_pct,MW_over_IE_pct,ETOTAL_drift_pct,wallclock_s,family_resolved,q_quasi_static,q_hourglass,q_energy_total,q_artificial_energy,q_force_magnitude,q_strain_level,q_friction_physics,q_steady_state,q_settling,q_recovery,parse_error,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00011,glassy_pc,CDP_drucker_prager_unified,morris,1,1,X,-1,WARN,Design_00011_Results.csv,0.007,5000.0,RF2,11,1.0687773119319568,3.08117158819208,0.011803999797187069,0.011044395933002894,0.12287187078897964,90.1347800440491,0.0007695986423641443,1.9239966059103608,0.00018893041124101728,nan,0.24549213166571923,at_final_position,0,0,0.38469226284934593,0.0744780350985477,10.164484975108747,0.004060349648343431,105.077819586271,3765.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,5,0,0.1166666667,0.02,12.33333333,0.926,0.05,1,367.1514699,433.0127019,5.833333333,5,0.05,30,50,1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.1166666667
00012,glassy_pc,CDP_drucker_prager_unified,morris,1,2,w,-1,FAIL,Design_00012_Results.csv,0.007,5000.0,RF2,11,0.9108438816937533,3.3654764853443035,0.05034567788243294,0.05527366313183439,0.12287187078897964,76.81554615201365,0.004530275706201792,11.32568926550448,0.003176978090777993,nan,0.7012769855107978,at_final_position,0,0,7.250844089685398,0.39994886850146427,5.042004501316264,0.004530226564100537,41.809675377786654,4922.0,1,PASS,WARN,FAIL,WARN,PASS,PASS,WARN,SKIP,PASS,PASS,,0,0,0,0,0.3333333333,0.6666666667,0,1,5,0,-0.35,0.02,12.33333333,0.926,0.05,1,367.1514699,433.0127019,0,5,0.05,30,50,-1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.05,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
00013,glassy_pc,CDP_drucker_prager_unified,morris,1,3,mu_eff,1,WARN,Design_00013_Results.csv,0.007,5000.0,RF2,11,0.88082124970176,4.397361415217996,0.3993814858523282,0.4534194491646926,0.12287187078897964,74.28360306084704,0.00018365774303674698,0.45914435759186745,0.013855017721652985,nan,75.4393334719398,at_final_position,0,0,3.4151493688140624,0.08889786042366518,8.918719941234023,0.014410236764045967,12.546736806997174,4701.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,0,0,0.3333333333,0.6666666667,0.6666666667,1,5,0,-0.35,0.02,12.33333333,0.926,0.3166666667,1,367.1514699,433.0127019,0,5,0.3166666667,30,50,-1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.3166666667,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
00014,glassy_pc,CDP_drucker_prager_unified,morris,1,4,beta,1,FAIL,Design_00014_Results.csv,0.007,5000.0,RF2,11,0.9708355665206909,3.120707013176782,0.3419650603424419,0.3522378785194143,0.12287187078897964,81.87491376393784,0.0003658408531919122,0.9146021329797804,0.004357785917818546,nan,11.91169843334185,at_final_position,0,0,2.121487283066987,0.09909862671538269,33.994942966045336,0.009034064889628613,35.68640461432381,3895.0,1,PASS,PASS,PASS,FAIL,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,0,0,1,0.6666666667,0.6666666667,1,5,0,-0.35,0.02,35,0.926,0.3166666667,1,367.1514699,433.0127019,0,5,0.3166666667,30,50,-1,0,0.02,2.5,0.02,0.926,35,0,0.3166666667,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
00018,glassy_pc,CDP_drucker_prager_unified,morris,1,8,h,1,WARN,Design_00018_Results.csv,0.007,5000.0,RF2,11,1.066565524448048,3.2770719018325805,0.6346786564046686,0.5950676651892693,0.12287187078897964,89.94825009422641,0.0006011176155880094,1.5027940389700234,0.00991659052670002,nan,16.496922182191707,at_final_position,0,0,1.4650583229718763,0.05070647933339151,11.786394995375456,0.0031680622469664396,11.727449133669968,5338.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,0,0.6666666667,1,0,0.6666666667,0.3333333333,5,0.3,-0.35,0.08666666667,35,0.778,0.3166666667,0.3333333333,367.1514699,433.0127019,0,5,0.1055555556,30,11.53846154,-1,0,0.08666666667,2.5,0.08666666667,0.778,35,0.3,0.3166666667,60,0.39,140,0.3333333333,1.1e-09,50,17.5,29.55555556,-0.35
00019,glassy_pc,CDP_drucker_prager_unified,morris,2,0,,0,WARN,Design_00019_Results.csv,0.007,5000.0,RF2,11,2.0023415847258135,2.57196386305659,0.9651994434269991,0.4820353583972371,0.12287187078897964,168.8664385905341,0.006410815287381411,16.027038218453526,0.010891095735132694,nan,1.6988628196120308,at_final_position,0,0,0.4346597531410989,0.024284076497266834,7.127785029954079,0.0008550578784980419,6.300686496188722,6781.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,PASS,,0.3333333333,1,1,1,0,1,0.6666666667,1,11.44714243,0.45,0.35,0.12,1,1,0.3166666667,1,840.5670336,991.3516141,17.5,11.44714243,0.3166666667,30,8.333333333,1,0,0.12,2.5,0.12,1,1,0.45,0.3166666667,60,0.39,140,1,1.1e-09,50,0,0,0.35
00020,glassy_pc,CDP_drucker_prager_unified,morris,2,1,X,1,WARN,Design_00020_Results.csv,0.007,5000.0,RF2,11,3.8780880841341885,2.794398657795626,2.5451045469804243,0.6562781689752768,0.12287187078897964,327.0565463473618,0.023421576246619225,58.55394061654806,0.02225848101079464,nan,0.9503408641853269,at_final_position,0,0,1.0870671871007984,0.005402833158302743,3.9857459689880823,0.00037129880458585193,1.5395345965576672,13464.0,1,PASS,PASS,PASS,WARN,WARN,PASS,WARN,SKIP,PASS,PASS,,1,1,1,1,0,1,0.6666666667,1,60,0.45,0.35,0.12,1,1,0.3166666667,1,4405.817639,5196.152423,17.5,60,0.3166666667,30,8.333333333,1,0,0.12,2.5,0.12,1,1,0.45,0.3166666667,60,0.39,140,1,1.1e-09,50,0,0,0.35
00021,glassy_pc,CDP_drucker_prager_unified,morris,2,2,phi,-1,WARN,Design_00021_Results.csv,0.007,5000.0,RF2,11,3.8871692527424204,2.9498521566683795,2.263017264279452,0.5821761588289165,0.12287187078897964,327.8224019899805,0.023775175213813782,59.437938034534454,0.022091761231422424,nan,0.9291944657714546,at_final_position,0,0,0.9305742751976955,0.004826224616920852,2.9690452216718928,0.0002749370133614332,1.6348236027150205,19042.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,1,1,1,0,1,0.6666666667,0.3333333333,60,0.45,0.35,0.12,1,1,0.3166666667,0.3333333333,4405.817639,5196.152423,17.5,60,0.1055555556,30,8.333333333,1,0,0.12,2.5,0.12,1,1,0.45,0.3166666667,60,0.39,140,0.3333333333,1.1e-09,50,0,29.55555556,0.35
00022,glassy_pc,CDP_drucker_prager_unified,morris,2,3,w,-1,WARN,Design_00022_Results.csv,0.007,5000.0,RF2,11,3.3790993690490723,3.3233389866378875,2.167830987410112,0.6415410589183623,0.12287187078897964,284.97459197151613,0.024540245532989502,61.350613832473755,0.025211581960320473,nan,1.0273565489158816,at_final_position,0,0,1.236952360022266,0.006819504281628484,3.0216131202868324,0.0005019028777097818,1.68193829911853,14701.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,1,0.3333333333,1,0,1,0.6666666667,0.3333333333,60,0.45,-0.1166666667,0.12,1,1,0.3166666667,0.3333333333,4405.817639,5196.152423,0,60,0.1055555556,30,8.333333333,-1,0,0.12,2.5,0.12,1,1,0.45,0.3166666667,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,29.55555556,-0.1166666667
00023,glassy_pc,CDP_drucker_prager_unified,morris,2,4,mu_eff,-1,WARN,Design_00023_Results.csv,0.007,5000.0,RF2,11,3.2279852520335806,2.780217862841053,0.9764674468473955,0.3025005911139886,0.12287187078897964,272.2304613217731,0.02526080049574375,63.15200123935938,0.023853277787566185,nan,0.9442803600616408,at_final_position,0,0,1.1349131669038477,0.005858889815624702,2.2537030595512015,0.0005327607918908472,2.623717979962975,13830.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,1,0.3333333333,1,0,1,0,0.3333333333,60,0.45,-0.1166666667,0.12,1,1,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,8.333333333,-1,0,0.12,2.5,0.12,1,1,0.45,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00024,glassy_pc,CDP_drucker_prager_unified,morris,2,5,h,-1,WARN,Design_00024_Results.csv,0.007,5000.0,RF2,11,2.8712910305369985,3.993383481546701,0.9279971718788147,0.32319857583550404,0.12287187078897964,242.14883923020625,0.025496743619441986,63.741859048604965,0.02697386033833027,nan,1.0579335440217525,at_final_position,0,0,1.7032960796746617,0.008246647967246303,3.2234535140053406,0.0013018175683138958,2.7596163937953464,21404.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,0.3333333333,1,0,1,0,0.3333333333,60,0.15,-0.1166666667,0.12,1,1,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,8.333333333,-1,0,0.12,2.5,0.12,1,1,0.15,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00025,glassy_pc,CDP_drucker_prager_unified,morris,2,6,K,-1,WARN,Design_00025_Results.csv,0.007,5000.0,RF2,11,2.9245894171974878,3.691756294626878,0.9583775672045621,0.32769644913881124,0.12287187078897964,246.64373101422245,0.02554926648736,63.8731662184,0.02726692147552967,nan,1.06722913117758,at_final_position,0,0,1.821448866870499,0.009553742113163403,3.358609791185925,0.0013859065964704103,2.723834145031596,18209.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,0.3333333333,1,0,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.12,1,0.852,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,8.333333333,-1,0,0.12,2.5,0.12,0.852,1,0.15,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00026,glassy_pc,CDP_drucker_prager_unified,morris,2,7,eps_c,-1,WARN,Design_00026_Results.csv,0.007,5000.0,RF2,11,2.8763566233895044,4.327634368341711,0.9452814513986761,0.3286384740028358,0.12287187078897964,242.57604337503224,0.02548159286379814,63.703982159495354,0.026926496997475624,nan,1.0567038387827892,at_final_position,0,0,1.7770607739066993,0.00944484800779836,3.1705253924151586,0.0013374554181551667,2.737669328049723,16625.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,0.3333333333,0.3333333333,0,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.05333333333,1,0.852,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,18.75,-1,0,0.05333333333,2.5,0.05333333333,0.852,1,0.15,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00027,glassy_pc,CDP_drucker_prager_unified,morris,2,8,beta,1,WARN,Design_00027_Results.csv,0.007,5000.0,RF2,11,3.4725751876831055,3.1375434944603673,1.068831205368042,0.30779209883175024,0.12287187078897964,292.8578266341101,0.024207796901464462,60.519492253661156,0.023821929469704628,nan,0.984060200383766,at_final_position,0,0,1.48193193906754,0.005931159308802191,3.3413426657361316,0.0004623698904406069,2.632646197264321,22299.0,1,PASS,PASS,PASS,WARN,WARN,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,0.3333333333,0.3333333333,0.6666666667,0.3333333333,0,0.3333333333,60,0.15,-0.1166666667,0.05333333333,23.66666667,0.852,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,18.75,-1,0,0.05333333333,2.5,0.05333333333,0.852,23.66666667,0.15,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00028,glassy_pc,CDP_drucker_prager_unified,morris,3,0,,0,FAIL,Design_00028_Results.csv,0.007,5000.0,RF2,11,1.4691123095425693,12.199428626749985,1.803627155043862,1.2276986199955326,0.12287187078897964,123.89682434525218,0.023540357127785683,58.85089281946421,0.021700160577893257,nan,0.9218280105138947,at_final_position,0,0,5.7894259067707,0.033014172393551935,3.617596544344457,0.013446896611252928,7.264007706536399,16844.0,1,PASS,PASS,FAIL,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,0,0,0,0.6666666667,1,0.3333333333,60,0.15,-0.35,0.02,1,0.926,0.45,0.3333333333,4405.817639,5196.152423,0,60,0.15,30,50,-1,0,0.02,2.5,0.02,0.926,1,0.15,0.45,60,0.39,140,0.3333333333,1.1e-09,50,17.5,42,-0.35
00030,glassy_pc,CDP_drucker_prager_unified,morris,3,2,phi,1,WARN,Design_00030_Results.csv,0.007,5000.0,RF2,11,1.5604534149169922,11.011949562543341,1.5537744110280818,0.9957198312842517,0.12287187078897964,131.60002907273807,0.02291175350546837,57.27938376367092,0.01884434185922146,nan,0.8224748862946637,at_final_position,0,0,4.478945368725761,0.03854474085410813,2.958893759031357,0.0052756973095711805,2.7126514326508313,22561.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,0.3333333333,0,0,0,0,1,1,60,0.15,-0.35,0.02,1,0.778,0.45,1,4405.817639,5196.152423,0,60,0.45,30,50,-1,0,0.02,2.5,0.02,0.778,1,0.15,0.45,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
00031,glassy_pc,CDP_drucker_prager_unified,morris,3,3,h,1,WARN,Design_00031_Results.csv,0.007,5000.0,RF2,11,2.9572853391820733,5.112051197447476,2.7297575907273726,0.923061956369205,0.12287187078897964,249.40112462982123,0.020055705681443214,50.139264203608036,0.021784208714962006,nan,1.0861851016849589,at_final_position,0,0,2.019837798175135,0.023420373580589172,5.0336164344347125,0.0016033873805654522,1.958536232169876,22169.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,1,0,0,0,0,1,1,60,0.45,-0.35,0.02,1,0.778,0.45,1,4405.817639,5196.152423,0,60,0.45,30,50,-1,0,0.02,2.5,0.02,0.778,1,0.45,0.45,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
00032,glassy_pc,CDP_drucker_prager_unified,morris,3,4,eps_c,1,WARN,Design_00032_Results.csv,0.007,5000.0,RF2,11,3.2329170487143775,5.069698804564079,3.013011758977717,0.9319792972034003,0.12287187078897964,272.64638183588096,0.019104188308119774,47.760470770299435,0.02072650007903576,nan,1.084919167710803,at_final_position,0,0,2.131997227001038,0.02459749390087542,4.985073038127556,0.002718653326949938,2.0501208746444384,17260.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,1,1,0,0.6666666667,0,0,1,1,60,0.45,-0.35,0.08666666667,1,0.778,0.45,1,4405.817639,5196.152423,0,60,0.45,30,11.53846154,-1,0,0.08666666667,2.5,0.08666666667,0.778,1,0.45,0.45,60,0.39,140,1,1.1e-09,50,17.5,0,-0.35
