qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
Fn_half_N,X,2.5685418653954195,1.9813171336573887,3.051482801622296,0.6042975760419426,0.23526872743766344,1.0,0.771378173877797,2.5685418653954195,6,0.5137083730790839,RETAIN
Fn_half_N,h,0.6371936494824821,0.07037600336332887,1.5751782474242482,0.8379741937102528,1.3151012951727332,0.24807602245735172,0.027399204315672967,0.6371936494824821,5,0.5137083730790839,RETAIN?
Fn_half_N,w,0.8577820141122139,0.3056137208889249,1.4486622015191606,0.5750858445601801,0.6704335543283473,0.3339567969160436,0.11898335199682508,0.8577820141122139,5,0.5137083730790839,RETAIN?
Fn_half_N,eps_c,0.17568043464499533,0.06492927946107487,0.3624189255340895,0.2504967047997974,1.42586569361572,0.06839695198736807,0.02527865336198411,0.0186381701998748,5,0.5137083730790839,freeze
Fn_half_N,beta,0.5712304045854053,0.18844959572430275,0.9791957922686978,0.48449701023714903,0.848163904350983,0.22239481952047765,0.07336831774602649,0.5712304045854053,7,0.5137083730790839,RETAIN?
Fn_half_N,K,0.09120977891383439,0.017226056134002077,0.23533668455416948,0.12669073391446775,1.3890038483061353,0.035510333758874864,0.006706550656650549,-0.09120977891383439,5,0.5137083730790839,freeze
Fn_half_N,mu_eff,0.15670255390254342,0.02386443884760887,0.3480534235644283,0.24350405165323755,1.5539252270558257,0.061008370552067884,0.009291045308282335,-0.03395939884623112,5,0.5137083730790839,freeze
Fn_half_N,phi,0.009352029112493184,0.0025042553864859513,0.013621746101474855,0.007585990534872717,0.8111598502980222,0.0036409876118773978,0.0009749716055729652,-0.008099901419250209,4,0.5137083730790839,freeze
scof,X,0.2583942078918048,0.1614540870989713,0.34178057460179356,0.10447275285376607,0.40431538193577105,0.4001886080709076,0.25005237892387616,0.2583942078918048,6,0.12913621361556654,RETAIN
scof,h,0.03568764114681261,0.0014022751308223952,0.08452448393093899,0.04400362892452762,1.2330215029764648,0.05527131413819105,0.0021717767488474045,-0.03568764114681261,5,0.12913621361556654,freeze
scof,w,0.07121627170400908,0.028944139224720777,0.12084593595097065,0.04604371691846308,0.6465336617147156,0.11029636026965627,0.044827300436245325,-0.07121627170400908,5,0.12913621361556654,freeze
scof,eps_c,0.00928602815772582,0.0015391633677185245,0.016750798945548002,0.008739145904584002,0.9411069788016073,0.014381756902629906,0.002383782712261572,0.008720813521918402,5,0.12913621361556654,freeze
scof,beta,0.052857216356326994,0.026198981779536053,0.08878751921651912,0.03922176961567265,0.7420324474006814,0.0818627321901831,0.04057573169603594,-0.052857216356326994,7,0.12913621361556654,freeze
scof,K,0.03531302193464686,0.006487483561962056,0.0770780385235396,0.03576921033434979,1.0129184186090667,0.054691121794498865,0.010047504693416275,-0.03531302193464686,5,0.12913621361556654,freeze
scof,mu_eff,0.6456810680778327,0.5322395260487507,0.8053403948926486,0.14167862065984427,0.21942508099488808,1.0,0.8243071577632081,0.6456810680778327,5,0.12913621361556654,RETAIN
scof,phi,0.035065054190177594,0.0030606163637128298,0.11115295964306064,0.052485988348487236,1.496817545577602,0.05430708119500064,0.004740136446658046,0.03353474600832118,4,0.12913621361556654,freeze
residual_depth_mm,X,0.026396867033480594,0.021559360104754767,0.03225195986787872,0.006147475308505194,0.2328865505405628,1.0,0.8167393530986025,0.026396867033480594,6,0.005279373406696119,RETAIN
residual_depth_mm,h,0.0010913518155784864,0.00015823715603637857,0.003023479950410837,0.001791023406234285,1.6411054443382473,0.04134399033772702,0.00599454305829846,-0.0010913518155784864,5,0.005279373406696119,freeze
residual_depth_mm,w,0.0023832728345786593,0.0012601374867082,0.003668586053366642,0.001247028122812096,0.5232418650181775,0.09028620069024948,0.04773814578487282,-0.0023832728345786593,5,0.005279373406696119,freeze
residual_depth_mm,eps_c,0.0005464331075884022,0.0001447861290243816,0.001137445112074544,0.0008062647418078118,1.4755049256918862,0.02070068038359746,0.005484973987281954,-2.4477030950592888e-05,5,0.005279373406696119,freeze
residual_depth_mm,beta,0.0030675346460072505,0.0017478630624561367,0.00428700128091712,0.0015370010822593186,0.5010541883397804,0.11620828494974529,0.06621479209025928,-0.0030675346460072505,7,0.005279373406696119,freeze
residual_depth_mm,K,0.0016546674974387526,0.00022266848580939524,0.0038062454727827775,0.002261828659799683,1.3669384715060582,0.06268423807037582,0.008435413396861552,0.0011423196658171242,5,0.005279373406696119,freeze
residual_depth_mm,mu_eff,0.003617075197955165,0.0007474666058482936,0.007395746126481362,0.0034846682171614947,0.9633939098450252,0.13702668552928762,0.028316489411422983,-0.003617075197955165,5,0.005279373406696119,freeze
residual_depth_mm,phi,0.00023687248701933014,3.246946848750751e-05,0.000530398185592743,0.0003579239578939392,1.5110406548175035,0.00897350760296257,0.0012300500830770829,-6.556637886615317e-05,4,0.005279373406696119,freeze
pile_up_mm,X,0.016066193962402817,0.01158427370559712,0.021242778153154368,0.005664021336788068,0.3525428206607417,1.0,0.7210341000927769,0.016066193962402817,6,0.0032132387924805636,RETAIN
pile_up_mm,h,0.003270667762564137,0.0010913258084085935,0.004545334782211082,0.003755569014455684,1.1482575691244756,0.20357452239266907,0.06792684135162637,-0.0015067485310794244,5,0.0032132387924805636,RETAIN?
pile_up_mm,w,0.005462641285049535,0.004112864592506211,0.006777896882169246,0.001373154672417784,0.25137192811395304,0.3400084237643896,0.2559949545070164,-0.005462641285049535,5,0.0032132387924805636,RETAIN
pile_up_mm,eps_c,0.0006396830608814692,0.0002000619588350446,0.0012796570667897758,0.0009028136141698344,1.411345194799714,0.039815469823059446,0.012452355505181754,-0.00013047487470492253,5,0.0032132387924805636,freeze
pile_up_mm,beta,0.006517041159704751,0.005113375996453959,0.008151447534249545,0.0019961242586790428,0.3062930262004783,0.4056369028629653,0.31826928072821653,-0.006517041159704751,7,0.0032132387924805636,RETAIN
pile_up_mm,K,0.0020200256402669405,0.00023098815382847487,0.004353966249602072,0.0026611530056842568,1.3173857562187146,0.12573143614437174,0.01437727904748443,0.0014734364198100247,5,0.0032132387924805636,freeze
pile_up_mm,mu_eff,0.007921222548304149,0.0017624870443455625,0.017224799611145744,0.010127176688107581,1.2784865753173043,0.49303665615147796,0.10970159133333217,0.00569685654856584,5,0.0032132387924805636,RETAIN?
pile_up_mm,phi,0.000286218877044583,2.1719186461042198e-06,0.0005791473100638533,0.00023876113790148384,0.8341907436954031,0.017814977070137204,0.00013518563582556135,0.00028513291772153094,4,0.0032132387924805636,freeze
