qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
F_n,X,2.703669388292869,1.7833688099817315,3.593420856070582,1.3216440947067691,0.48883347218029194,1.0,0.6596105343737213,2.703669388292869,9,0.5407338776585738,RETAIN
F_n,h,1.2443418411861873,0.5116747158282969,2.413547401350558,1.2343994316245732,0.9920099049694123,0.4602418648427574,0.1892519544156894,1.2443418411861873,7,0.5407338776585738,RETAIN?
F_n,w,1.2783651755032337,0.7265902560901144,1.8785490403526133,0.8670132061651424,0.6782202947791026,0.4728259975271642,0.2687422727188152,1.2783651755032337,10,0.5407338776585738,RETAIN
F_n,eps_c,0.2638010702774663,0.13771202148225914,0.42943094917667557,0.34557358092345064,1.3099779335996473,0.09757149724731455,0.05093522975795951,0.008868496156076322,8,0.5407338776585738,freeze
F_n,beta,1.15946665547423,0.590684066972608,1.762996208473995,0.8089939761956668,0.697729402028196,0.42884927443230464,0.21847496203874742,1.15946665547423,8,0.5407338776585738,RETAIN
F_n,K,0.2541741053958575,0.12399303942682048,0.4194121837148429,0.30847481172759045,1.2136358707633241,0.09401079381097932,0.04586102130819747,-0.1421071772526858,9,0.5407338776585738,freeze
F_n,mu_eff,0.5589100755168479,0.2563013651587557,0.8260685326914927,0.39576958391811684,0.7081095891000567,0.20672278864308583,0.09479759850393084,-0.5537212553649812,8,0.5407338776585738,RETAIN?
F_n,phi,0.12141761499069899,0.053167259718732304,0.2118579480021942,0.15403204611359825,1.2686136696507968,0.04490845497472736,0.019664852496000917,-0.049304239280244695,7,0.5407338776585738,freeze
SCOF_mean,X,0.10311107529445412,0.060927815585653355,0.13647297516752752,0.05398995307392845,0.5236096405720668,0.15873948794831563,0.0937983647271324,0.10263656406662605,9,0.1299123193946881,freeze
SCOF_mean,h,0.014666103296520181,0.00456306303694768,0.029600928339379193,0.017550538044250247,1.1966735600733465,0.022578464251666427,0.0070248349936461165,-0.012826607762642233,7,0.1299123193946881,freeze
SCOF_mean,w,0.07771146499930298,0.043321064682222375,0.11919677992336795,0.05778788083213351,0.7436210452685691,0.1196367909700802,0.0666927738401901,-0.07771146499930298,10,0.1299123193946881,freeze
SCOF_mean,eps_c,0.017396715470023548,0.005965756265719121,0.030829388959330836,0.02519679887556116,1.448365291653934,0.026782241362607633,0.009184281049735536,-0.0003450649124851811,8,0.1299123193946881,freeze
