id,family,campaign,method,traj,step,moved,sign,status,run_status,file,fine_size_x,mass_scale,target_time_increment,scratch_time,scratch_depth,depth_mode,z_extraction,wallclock,KE_IE_steady_max,KE_IE_overall_max,AE_IE_final,E_ref,ETOTAL_drift,ALLIE_max,ALLPW,KE_final_over_IE_peak,F_n,F_t,SCOF_mean,SCOF_std,h_r,h_p,h_fp,parse_error,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_post_yield_slope_ratio,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00011,glassy_pc,CDP_drucker_prager_unified,morris,1,1,X,-1,OK,OK,Design_00011_Results.csv,0.01,5000.0,4.7465e-07,0.01,0.04,progressive,2.0,1511.0,0.1294031318859214,2.0464172317710205,0.738348236298584,0.22415468096733093,0.14655383192160273,0.1484711915254593,3.758222972424088,0.008148877263640796,3.589721441268921,0.5302065014839172,0.10425188390756379,0.03270256245237348,0.009101943567302057,0.004979423543605789,0.005821179683221277,,0,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,12,0,0.1166666667,0.05,12.33333333,0.926,0.05,0.95,881.1635278,1039.230485,5.833333333,12,0.0475,30,20,1,0,0.05,2.5,0.05,0.926,12.33333333,0,0.05,60,0.39,140,0.95,0.1324006986,1.1e-09,50,0,0.35,0.1166666667
00012,glassy_pc,CDP_drucker_prager_unified,morris,1,2,w,-1,OK,OK,Design_00012_Results.csv,0.01,5000.0,4.7465e-07,0.01,0.04,progressive,2.0,1540.0,0.1294031318859214,2.0464172317710205,0.9398235231122286,0.2588478624820709,0.19044399667353368,0.19998668134212494,2.2540245052871497,0.001947723478679191,2.9849414825439453,0.5964770913124084,0.14273810038416074,0.05119041048782864,0.014825292990026159,0.01298589209000902,0.017649097151976732,,0,0,0,0,0.3333333333,0.6666666667,0,1,12,0,-0.35,0.05,12.33333333,0.926,0.05,0.95,881.1635278,1039.230485,0,12,0.0475,30,20,-1,0,0.05,2.5,0.05,0.926,12.33333333,0,0.05,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,0.35,-0.35
00014,glassy_pc,CDP_drucker_prager_unified,morris,1,4,beta,1,OK,OK,Design_00014_Results.csv,0.01,5000.0,4.7465e-07,0.01,0.04,progressive,2.0,1894.0,0.4932541808068295,1.8923644123479646,1.8351821080058177,0.7671933770179749,1.4141350999648912,0.38183334469795227,3.331928989060915,0.0015120477193386063,2.835620403289795,1.7095441818237305,0.4591483131374345,0.08291761264594297,0.017968552059298693,0.01306324687450593,0.03868573543628428,,0,0,0,0,1,0.6666666667,0.6666666667,1,12,0,-0.35,0.05,35,0.926,0.3166666667,0.95,881.1635278,1039.230485,0,12,0.3008333333,30,20,-1,0,0.05,2.5,0.05,0.926,35,0,0.3166666667,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,2.216666667,-0.35
00015,glassy_pc,CDP_drucker_prager_unified,morris,1,5,K,-1,OK,OK,Design_00015_Results.csv,0.01,5000.0,4.7465e-07,0.01,0.04,progressive,2.0,2169.0,0.5114175957247857,1.8923644123479646,2.6310145980045316,0.7678757905960083,1.8331194720945372,0.3979196846485138,3.869487492953793,0.0017860839192767773,2.7802679538726807,1.622586965560913,0.46252550493809935,0.08299799367366437,0.01894960706449463,0.011716354906882427,0.046469623545208394,,0,0,0,0,1,0,0.6666666667,1,12,0,-0.35,0.05,35,0.778,0.3166666667,0.95,881.1635278,1039.230485,0,12,0.3008333333,30,20,-1,0,0.05,2.5,0.05,0.778,35,0,0.3166666667,60,0.39,140,0.95,0.3972020958,1.1e-09,50,17.5,2.216666667,-0.35
00018,glassy_pc,CDP_drucker_prager_unified,morris,1,8,h,1,OK,OK,Design_00018_Results.csv,0.01,5000.0,4.7465e-07,0.01,0.04,progressive,2.0,1696.0,2.4626274149552376,14.203842052324086,1.4753044113228082,1.026953935623169,0.4377135844265985,0.5234244465827942,2.6210384784683507,0.004533973455290206,3.3425939083099365,2.536984920501709,0.570818959690551,0.09445259869808798,0.013143472494714134,0.012484850394725789,0.04032578037837046,,0,0.6666666667,0,0.6666666667,1,0,0.6666666667,0.3333333333,12,0.3,-0.35,0.15,35,0.778,0.3166666667,0.3166666667,881.1635278,1039.230485,0,12,0.1002777778,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,35,0.3,0.3166666667,60,0.39,140,0.3166666667,0.1324006986,1.1e-09,50,17.5,30.29444444,-0.35
00019,glassy_pc,CDP_drucker_prager_unified,morris,2,0,,0,OK,OK,Design_00019_Results.csv,0.01,5000.0,3.62976e-07,0.01,0.04,progressive,2.0,1970.0,0.08866986453371219,1.2266211321840728,0.8308273623384299,1.2559207677841187,0.11215418107875456,0.6055105924606323,2.0171475667289043,0.0022308840346406994,5.02077054977417,2.9331493377685547,0.49433342058236773,0.06302116429835934,0.016942098902219364,0.014352417420215566,0.02318466792081112,,0.3333333333,1,1,1,0,1,0.6666666667,1,20.51971136,0.45,0.35,0.2,1,1,0.3166666667,0.95,1506.768438,1777.059132,17.5,20.51971136,0.3008333333,30,5,1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.95,0.05807129869,1.1e-09,50,0,2.216666667,0.35
00020,glassy_pc,CDP_drucker_prager_unified,morris,2,1,X,1,OK,OK,Design_00020_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3605.0,0.03456611601548316,0.6037476684649565,1.4956858043081813,2.1467432975769043,0.17527018473485506,1.1987906694412231,2.0348563109181224,0.0005172603604941534,6.943262577056885,4.68350076675415,0.5759441446813094,0.06777776116134064,0.025412248760181687,0.020380964383770423,0.03454268204031709,,1,1,1,1,0,1,0.6666666667,1,60,0.45,0.35,0.2,1,1,0.3166666667,0.95,4405.817639,5196.152423,17.5,60,0.3008333333,30,5,1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.95,0.01986010479,1.1e-09,50,0,2.216666667,0.35
00021,glassy_pc,CDP_drucker_prager_unified,morris,2,2,phi,-1,OK,OK,Design_00021_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3604.0,0.036162671105605435,0.6303531169769658,1.2814141998378465,2.0290844440460205,0.2283032865526355,1.1503651142120361,1.5725227986356303,0.0005605167067024663,7.149969100952148,4.345088481903076,0.5533924549869119,0.03552502449159395,0.025274177543930403,0.020102586017022663,0.03366099383143986,,1,1,1,1,0,1,0.6666666667,0.3333333333,60,0.45,0.35,0.2,1,1,0.3166666667,0.3166666667,4405.817639,5196.152423,17.5,60,0.1002777778,30,5,1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.3166666667,0.01986010479,1.1e-09,50,0,30.29444444,0.35
00022,glassy_pc,CDP_drucker_prager_unified,morris,2,3,w,-1,OK,OK,Design_00022_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3747.0,0.03932543922213532,0.6303531169769658,1.8999385746960866,1.969752550125122,0.38805384853204666,1.110426425933838,1.979438451592709,0.00040063160476056165,6.037140369415283,4.085151195526123,0.6207307770651141,0.027966686420821563,0.026556078109708184,0.023365497670798124,0.04005852315501917,,1,1,0.3333333333,1,0,1,0.6666666667,0.3333333333,60,0.45,-0.1166666667,0.2,1,1,0.3166666667,0.3166666667,4405.817639,5196.152423,0,60,0.1002777778,30,5,-1,0,0.2,2.5,0.2,1,1,0.45,0.3166666667,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,30.29444444,-0.1166666667
00023,glassy_pc,CDP_drucker_prager_unified,morris,2,4,mu_eff,-1,OK,OK,Design_00023_Results.csv,0.01,5000.0,2.1227e-07,0.01,0.04,progressive,2.0,3725.0,0.045359120702051475,0.6921407117783287,1.593684695581717,0.8753781318664551,0.06297276706462193,0.7311297655105591,2.129545350707947,0.00029397734191996067,6.036028861999512,1.9477243423461914,0.25227589979393644,0.053514867797313424,0.026589500214352524,0.023131430140354327,0.030034732472407517,,1,1,0.3333333333,1,0,1,0,0.3333333333,60,0.45,-0.1166666667,0.2,1,1,0.05,0.3166666667,4405.817639,5196.152423,0,60,0.01583333333,30,5,-1,0,0.2,2.5,0.2,1,1,0.45,0.05,60,0.39,140,0.3166666667,0.00662003493,1.1e-09,50,5.833333333,4.783333333,-0.1166666667
