rank,factor,rel_max,rel_mean,rank_best,rank_mean,sigma_ratio_max,rel_lo_best,n_qoi_retained,retained_in,verdict
1,X,1.0,0.7896848719870789,1,1.25,0.5236096405720668,0.7750500463873768,3,F_n;h_r;h_p,RETAIN
2,mu_eff,1.0,0.5073480219925393,1,3.0,1.2641613284889648,0.8454606183928621,4,F_n;SCOF_mean;h_r;h_p,RETAIN
3,w,0.517452236927679,0.3467595728329482,2,2.5,0.7436210452685691,0.388626070295874,3,F_n;h_r;h_p,RETAIN
4,beta,0.5062631863996602,0.32825896663457554,3,3.75,0.697729402028196,0.34237661775174033,3,F_n;h_r;h_p,RETAIN
5,h,0.4602418648427574,0.24609261334665006,3,5.25,1.1966735600733465,0.1892519544156894,3,F_n;h_r;h_p,RETAIN
6,K,0.2184266122596764,0.10290691822024804,6,6.5,1.7997802854378468,0.09921674277423778,1,h_p,RETAIN
7,eps_c,0.09757149724731455,0.07100906861129748,6,6.5,1.448365291653934,nan,0,,freeze
8,phi,0.07305803374489488,0.05086683434538511,5,7.25,1.2897423580608818,nan,0,,freeze
