# Sweep design -- generated by generate_design.py
# campaign=CDP_drucker_prager_unified family=glassy_pc label=Unified Drucker-Prager (semicrystalline + glassy)
# method=morris n_runs=100 n_factors=9 seed=42
# morris r=10 p=4 delta=0.666667 candidates=200 maximin=8480.3602
# active_factors=X,h,q,s,eps_soft,beta,K,mu_eff,phi
#   X in [5, 60] (log) Johnson parameter E* tan(theta) / sigma_y0
#   h in [0, 0.45] (lin) G'Sell orientation hardening exp(h eps^2)
#   q in [0, 0.35] (lin) Voce amplitude Q / sigma_y0 (0 = glassy limit)
#   s in [0, 0.35] (lin) intrinsic softening drop / sigma_y0 (0 = semicrystalline limit)
#   eps_soft in [0.02, 0.12] (lin) softening strain scale
#   beta in [1, 35] (lin) Drucker-Prager friction angle (1 deg ~ J2)
#   K in [0.778, 1] (lin) flow stress ratio (Abaqus lower bound 0.778)
#   mu_eff in [0.05, 0.45] (lin) effective friction at scratch pressure
#   phi in [0, 1] (lin) alpha / mu_eff, pressure-independent fraction
# frozen=b_voce=8.0,dilation_angle_deg=0.0,eps_max=2.5,n_points=60,nu=0.39,rationale_nu=first-order effect absorbed by X = E* tan(theta) / sigma_y0,rationale_sigma_y0=arbitrary: stress-scale invariance makes forces scale exactly,rho=1.1e-09,sigma_y0_ref_MPa=50.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.04 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns via families.py.
# RETRY SUBSET of glassy_pc_morris.csv -- 20 of 100 cases, original ids preserved.
# Run it, then collect the ORIGINAL and the retry directories together;
# analyse against the ORIGINAL design, never against this subset.
id,campaign,family,method,traj,step,moved,sign,u_X,u_h,u_q,u_s,u_eps_soft,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_q,g_s,g_eps_soft,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0
00012,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,1,mu_eff,1,0,0.6666666667,0.3333333333,1,0.3333333333,0,0.3333333333,1,0,5,0.3,0.1166666667,0.35,0.05333333333,1,0.852,0.45,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.05333333333,0.852,1,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00013,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,2,eps_soft,1,0,0.6666666667,0.3333333333,1,1,0,0.3333333333,1,0,5,0.3,0.1166666667,0.35,0.12,1,0.852,0.45,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.12,0.852,1,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00014,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,3,q,1,0,0.6666666667,1,1,1,0,0.3333333333,1,0,5,0.3,0.35,0.35,0.12,1,0.852,0.45,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.12,0.852,1,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00015,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,4,beta,1,0,0.6666666667,1,1,1,0.6666666667,0.3333333333,1,0,5,0.3,0.35,0.35,0.12,23.66666667,0.852,0.45,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.12,0.852,23.66666667,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00016,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,5,phi,1,0,0.6666666667,1,1,1,0.6666666667,0.3333333333,1,0.6666666667,5,0.3,0.35,0.35,0.12,23.66666667,0.852,0.45,0.6666666667,367.1514699,433.0127019,17.5,5,0.3,30,8,0,2.5,0.12,0.852,23.66666667,0.3,0.45,60,0.39,140,0.6666666667,1.1e-09,50,17.5,21
00017,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,6,h,-1,0,0,1,1,1,0.6666666667,0.3333333333,1,0.6666666667,5,0,0.35,0.35,0.12,23.66666667,0.852,0.45,0.6666666667,367.1514699,433.0127019,17.5,5,0.3,30,8,0,2.5,0.12,0.852,23.66666667,0,0.45,60,0.39,140,0.6666666667,1.1e-09,50,17.5,21
00018,CDP_drucker_prager_unified,semicrystalline_dp,morris,1,7,K,1,0,0,1,1,1,0.6666666667,1,1,0.6666666667,5,0,0.35,0.35,0.12,23.66666667,1,0.45,0.6666666667,367.1514699,433.0127019,17.5,5,0.3,30,8,0,2.5,0.12,1,23.66666667,0,0.45,60,0.39,140,0.6666666667,1.1e-09,50,17.5,21
00028,CDP_drucker_prager_unified,semicrystalline_dp,morris,2,7,q,-1,0,0,0.3333333333,0,1,0.6666666667,0,0.6666666667,0,5,0,0.1166666667,0,0.12,23.66666667,0.778,0.3166666667,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.12,0.778,23.66666667,0,0.3166666667,60,0.39,140,0,1.1e-09,50,0,44.33333333
00029,CDP_drucker_prager_unified,semicrystalline_dp,morris,2,8,s,1,0,0,0.3333333333,0.6666666667,1,0.6666666667,0,0.6666666667,0,5,0,0.1166666667,0.2333333333,0.12,23.66666667,0.778,0.3166666667,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.12,0.778,23.66666667,0,0.3166666667,60,0.39,140,0,1.1e-09,50,11.66666667,44.33333333
00044,CDP_drucker_prager_unified,semicrystalline_dp,morris,4,3,s,1,0,1,0,0.6666666667,1,1,0,1,0,5,0.45,0,0.2333333333,0.12,35,0.778,0.45,0,367.1514699,433.0127019,0,5,0,30,8,0,2.5,0.12,0.778,35,0.45,0.45,60,0.39,140,0,1.1e-09,50,11.66666667,63
