# Sweep design -- generated by generate_design.py
# campaign=CDP_drucker_prager_unified family=glassy_pc label=Unified Drucker-Prager (semicrystalline + glassy)
# method=morris n_runs=90 n_factors=8 seed=42
# morris r=10 p=4 delta=0.666667 candidates=200 maximin=6574.4193
# active_factors=X,h,w,eps_c,beta,K,mu_eff,phi
#   X in [12, 60] (log) Johnson parameter E* tan(theta) / sigma_y0
#   h in [0, 0.45] (lin) G'Sell orientation hardening exp(h eps^2)
#   w in [-0.35, 0.35] (lin) signed post-yield amplitude / sigma_y0: w < 0 = intrinsic softening (glassy), w > 0 = Voce hardening (semicrystalline)
#   eps_c in [0.05, 0.2] (lin) strain scale of whichever post-yield branch is active (eps_soft if w < 0, 1/b if w > 0)
#   beta in [1, 35] (lin) Drucker-Prager friction angle (1 deg ~ J2)
#   K in [0.778, 1] (lin) flow stress ratio (Abaqus lower bound 0.778)
#   mu_eff in [0.05, 0.45] (lin) effective friction at scratch pressure
#   phi in [0, 0.95] (lin) alpha / mu_eff, pressure-independent fraction
# frozen=b_voce=8.0,b_voce_note=superseded by 1/eps_c in CDP; kept for traceability,dilation_angle_deg=0.0,eps_max=2.5,n_points=60,nu=0.39,rationale_nu=first-order effect absorbed by X = E* tan(theta) / sigma_y0,rationale_sigma_y0=arbitrary: stress-scale invariance makes forces scale exactly,rho=1.1e-09,sigma_y0_ref_MPa=50.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.04 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns via families.py.
id,campaign,family,method,traj,step,moved,sign,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_post_yield_slope_ratio,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00031,CDP_drucker_prager_unified,glassy_pc,morris,3,3,h,1,1,1,0,0,0,0,1,1,60,0.45,-0.35,0.05,1,0.778,0.45,0.95,4405.817639,5196.152423,0,60,0.4275,30,20,-1,0,0.05,2.5,0.05,0.778,1,0.45,0.45,60,0.39,140,0.95,0.07944041916,1.1e-09,50,17.5,3.15,-0.35
00032,CDP_drucker_prager_unified,glassy_pc,morris,3,4,eps_c,1,1,1,0,0.6666666667,0,0,1,1,60,0.45,-0.35,0.15,1,0.778,0.45,0.95,4405.817639,5196.152423,0,60,0.4275,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,1,0.45,0.45,60,0.39,140,0.95,0.02648013972,1.1e-09,50,17.5,3.15,-0.35
00033,CDP_drucker_prager_unified,glassy_pc,morris,3,5,mu_eff,-1,1,1,0,0.6666666667,0,0,0.3333333333,1,60,0.45,-0.35,0.15,1,0.778,0.1833333333,0.95,4405.817639,5196.152423,0,60,0.1741666667,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,1,0.45,0.1833333333,60,0.39,140,0.95,0.02648013972,1.1e-09,50,17.5,1.283333333,-0.35
00034,CDP_drucker_prager_unified,glassy_pc,morris,3,6,X,-1,0.3333333333,1,0,0.6666666667,0,0,0.3333333333,1,20.51971136,0.45,-0.35,0.15,1,0.778,0.1833333333,0.95,1506.768438,1777.059132,0,20.51971136,0.1741666667,30,6.666666667,-1,0,0.15,2.5,0.15,0.778,1,0.45,0.1833333333,60,0.39,140,0.95,0.07742839825,1.1e-09,50,17.5,1.283333333,-0.35
00035,CDP_drucker_prager_unified,glassy_pc,morris,3,7,w,1,0.3333333333,1,0.6666666667,0.6666666667,0,0,0.3333333333,1,20.51971136,0.45,0.1166666667,0.15,1,0.778,0.1833333333,0.95,1506.768438,1777.059132,5.833333333,20.51971136,0.1741666667,30,6.666666667,1,0,0.15,2.5,0.15,0.778,1,0.45,0.1833333333,60,0.39,140,0.95,0.02580946608,1.1e-09,50,0,1.283333333,0.1166666667
00036,CDP_drucker_prager_unified,glassy_pc,morris,3,8,beta,1,0.3333333333,1,0.6666666667,0.6666666667,0.6666666667,0,0.3333333333,1,20.51971136,0.45,0.1166666667,0.15,23.66666667,0.778,0.1833333333,0.95,1506.768438,1777.059132,5.833333333,20.51971136,0.1741666667,30,6.666666667,1,0,0.15,2.5,0.15,0.778,23.66666667,0.45,0.1833333333,60,0.39,140,0.95,0.02580946608,1.1e-09,50,0,1.283333333,0.1166666667
00037,CDP_drucker_prager_unified,glassy_pc,morris,4,0,,0,0,0.3333333333,0.6666666667,1,0,0,1,0.6666666667,12,0.15,0.1166666667,0.2,1,0.778,0.45,0.6333333333,881.1635278,1039.230485,5.833333333,12,0.285,30,5,1,0,0.2,2.5,0.2,0.778,1,0.15,0.45,60,0.39,140,0.6333333333,0.03310017465,1.1e-09,50,0,23.1,0.1166666667
00038,CDP_drucker_prager_unified,glassy_pc,morris,4,1,h,1,0,1,0.6666666667,1,0,0,1,0.6666666667,12,0.45,0.1166666667,0.2,1,0.778,0.45,0.6333333333,881.1635278,1039.230485,5.833333333,12,0.285,30,5,1,0,0.2,2.5,0.2,0.778,1,0.45,0.45,60,0.39,140,0.6333333333,0.03310017465,1.1e-09,50,0,23.1,0.1166666667
00039,CDP_drucker_prager_unified,glassy_pc,morris,4,2,w,-1,0,1,0,1,0,0,1,0.6666666667,12,0.45,-0.35,0.2,1,0.778,0.45,0.6333333333,881.1635278,1039.230485,0,12,0.285,30,5,-1,0,0.2,2.5,0.2,0.778,1,0.45,0.45,60,0.39,140,0.6333333333,0.09930052395,1.1e-09,50,17.5,23.1,-0.35
00040,CDP_drucker_prager_unified,glassy_pc,morris,4,3,eps_c,-1,0,1,0,0.3333333333,0,0,1,0.6666666667,12,0.45,-0.35,0.1,1,0.778,0.45,0.6333333333,881.1635278,1039.230485,0,12,0.285,30,10,-1,0,0.1,2.5,0.1,0.778,1,0.45,0.45,60,0.39,140,0.6333333333,0.1986010479,1.1e-09,50,17.5,23.1,-0.35
