qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
F_n,X,3.080292381879041,2.1780453213583955,3.973093586729839,1.3246003264622732,0.4300242192120217,1.0,0.7070904483520956,3.080292381879041,9,0.6160584763758082,RETAIN
F_n,h,0.7402429873758832,0.38150739773063075,1.0442362604491962,0.3833708371237696,0.5178986409351828,0.2403158192808697,0.12385428083872463,0.7402429873758832,6,0.6160584763758082,RETAIN?
F_n,w,1.3245762044934533,0.7191252551067877,1.9681066523434338,0.9617688394372159,0.7260955135495712,0.4300163881473599,0.23346006351127835,1.3245762044934533,10,0.6160584763758082,RETAIN
F_n,eps_c,0.25365763179415834,0.11802581731042308,0.43503228606441563,0.34575578359067743,1.363080547370466,0.08234855667805861,0.0383164332076895,0.020320331024377414,8,0.6160584763758082,freeze
F_n,beta,1.129620661094777,0.5231099563329094,1.7688092571464,0.8724446965178576,0.7723342238378713,0.36672514198333517,0.16982477358652612,1.118666706865212,8,0.6160584763758082,RETAIN?
F_n,K,0.2180749971167741,0.08387121175848077,0.3826960283898334,0.22658659926464136,1.0390306191007743,0.07079684980545384,0.02722832814569298,-0.20340544368471114,9,0.6160584763758082,freeze
F_n,mu_eff,0.48684471422657616,0.2863014777959212,0.7011998080343556,0.42687568721833913,0.8768210370661894,0.15805146196205927,0.09294620195154055,-0.3794606632982751,8,0.6160584763758082,freeze
F_n,phi,0.07303826041040677,0.0255240786607329,0.1336953677861019,0.09159431241120691,1.2540593367987198,0.023711470002030118,0.008286251919099541,-0.04544621147746445,7,0.6160584763758082,freeze
SCOF_mean,X,0.10051152516884292,0.06308729344344347,0.13018724371874482,0.049991793304776794,0.49737374117842464,0.1565948482158689,0.09828868007455525,0.09928953624361983,9,0.1283714327948847,freeze
SCOF_mean,h,0.006268496377252824,0.0016607771474449232,0.012113037069930754,0.0067964988845555,1.0842311258595756,0.009766185888520532,0.002587455964752777,-0.005358899757962831,6,0.1283714327948847,freeze
SCOF_mean,w,0.07664669118608734,0.04310384138357445,0.11747148508150074,0.05649070673029354,0.7370273374638193,0.11941393738053149,0.06715488087205027,-0.07664669118608734,10,0.1283714327948847,freeze
SCOF_mean,eps_c,0.01502144314227466,0.004313248296604318,0.028343273258861306,0.022829963358520805,1.5198249024603185,0.02340309337557418,0.006719950385684549,0.0008343844117749515,8,0.1283714327948847,freeze
SCOF_mean,beta,0.07454628994818108,0.04332264008523934,0.10974619784868415,0.0438102445465167,0.5876918164132683,0.11614155630294028,0.06749576466044654,-0.07454628994818108,8,0.1283714327948847,freeze
SCOF_mean,K,0.02684887082871765,0.010105833316811266,0.04707986778458689,0.025871019077731,0.9635794087123867,0.04182997765806275,0.01574467636106958,-0.02684887082871765,9,0.1283714327948847,freeze
SCOF_mean,mu_eff,0.6418571639744235,0.5406604122263567,0.7902276111785741,0.175609487405702,0.2735958983745169,1.0,0.8423375831447459,0.6418571639744235,8,0.1283714327948847,RETAIN
SCOF_mean,phi,0.03294817034239356,0.016653075292274114,0.05977508818673321,0.04399482384630674,1.3352736552323738,0.05133255838164403,0.02594514204555595,-0.009694242182390926,7,0.1283714327948847,freeze
h_r,X,0.013221047467276129,0.009797832084963617,0.017276299896995445,0.00537182515751213,0.40630859020876525,1.0,0.7410783532253832,0.013221047467276129,9,0.002644209493455226,RETAIN
h_r,h,0.0018552963412465987,0.000996456810099533,0.002695168258028513,0.0009659403388434792,0.5206393810890884,0.14032899782250285,0.07536897606380263,-0.0018552963412465987,6,0.002644209493455226,freeze
h_r,w,0.004386406773176416,0.002169549140093084,0.0068540417875423915,0.003440773963028888,0.7844174379972635,0.3317745272478117,0.1640981280388721,-0.004386406773176416,10,0.002644209493455226,RETAIN?
h_r,eps_c,0.000886565638829581,0.0004940798372632285,0.0012666006579111573,0.0010657393152454086,1.2020986022561935,0.06705714059524787,0.03737070292547868,-0.0001365019283278449,8,0.002644209493455226,freeze
h_r,beta,0.0017696963658676136,0.0009753483233131636,0.0029174183174340124,0.0014666023957753155,0.828731088599087,0.13385447486274066,0.07377239403513844,-0.0016800930633785092,8,0.002644209493455226,freeze
h_r,K,0.001023782458958887,0.00032951061355534995,0.001992174388140081,0.0013849412669184565,1.3527690915185655,0.07743580540746763,0.02492318512363964,0.0007817936666311284,9,0.002644209493455226,freeze
