rank,factor,rel_max,rel_mean,rank_best,rank_mean,sigma_ratio_max,rel_lo_best,n_qoi_retained,retained_in,verdict
1,X,1.0,0.7891487120539672,1,1.25,0.49737374117842464,0.7410783532253832,3,F_n;h_r;h_p,RETAIN
2,mu_eff,1.0,0.48374863221913733,1,2.75,1.2712679955604194,0.8423375831447459,3,SCOF_mean;h_r;h_p,RETAIN
3,w,0.4300163881473599,0.3161483663579741,2,2.75,0.8940302265578277,0.25296151948957774,3,F_n;h_r;h_p,RETAIN
4,beta,0.3931886978102709,0.2524774677398217,3,3.75,0.828731088599087,0.19993699111195506,2,F_n;h_p,RETAIN
5,K,0.3108076666150026,0.1252175748714967,5,6.0,1.3527690915185655,0.13231527302782134,1,h_p,RETAIN
6,h,0.2403158192808697,0.1371638821513732,4,5.5,1.0842311258595756,0.12385428083872463,1,F_n,RETAIN
7,eps_c,0.10678348814271012,0.06989806969789769,6,7.0,1.5198249024603185,nan,0,,freeze
8,phi,0.06915111121884358,0.049571583117775674,5,7.0,1.3352736552323738,nan,0,,freeze
