file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0.214797,2.68496,0.185917,0.0802783,0.432177,,,-0.0917704,-0.0181014,-0.0181014,-0.0181014,,,,,0
Design_00001_Results.csv,0.220764,2.75955,0.194072,0.0830582,0.428061,,,-0.0997807,-0.0182742,-0.0182742,-0.0182742,,,,,0
Design_00001_Results.csv,0.22673,2.83413,0.202343,0.0855449,0.423263,,,-0.113763,-0.018444,-0.018444,-0.018444,,,,,0
Design_00001_Results.csv,0.232697,2.90871,0.210615,0.0880316,0.418465,,,-0.124117,-0.0180971,-0.0180971,-0.0180971,,,,,0
Design_00001_Results.csv,0.238663,2.98329,0.218887,0.0905184,0.413667,,,-0.138791,-0.0196279,-0.0196279,-0.0196279,,,,,0
Design_00001_Results.csv,0.24463,3.05788,0.227864,0.0933666,0.410015,,,-0.151603,-0.0190251,-0.0190251,-0.0190251,,,,,0
Design_00001_Results.csv,0.250597,3.13246,0.237044,0.0963193,0.406694,,,-0.164437,-0.0196857,-0.0196857,-0.0196857,,,,,0
Design_00001_Results.csv,0.256563,3.20704,0.246225,0.0992719,0.403373,,,-0.183624,-0.0195571,-0.0195571,-0.0195571,,,,,0
Design_00001_Results.csv,0.26253,3.28162,0.255532,0.102308,0.40048,,,-0.20439,-0.0204633,-0.0204633,-0.0204633,23.1315,0,0,,1
Design_00001_Results.csv,0.268496,3.35621,0.265009,0.105458,0.398168,,,-0.219856,-0.0211278,-0.0211278,-0.0211278,23.8909,0,0,,1
Design_00001_Results.csv,0.274463,3.43079,0.274486,0.108607,0.395856,,,-0.241762,-0.0211735,-0.0211735,-0.0211735,24.5928,0,0,,1
Design_00001_Results.csv,0.28043,3.50537,0.283954,0.111747,0.393554,,,-0.267917,-0.020901,-0.020901,-0.020901,25.3573,0,0,,1
Design_00001_Results.csv,0.286396,3.57995,0.293313,0.114749,0.391386,,,-0.294779,-0.020827,-0.020827,-0.020827,26.1573,0,0,,1
Design_00001_Results.csv,0.292363,3.65453,0.302671,0.117751,0.389218,,,-0.319717,-0.021315,-0.021315,-0.021315,26.9524,0,0,,1
Design_00001_Results.csv,0.298329,3.72912,0.31203,0.120754,0.38705,,,-0.344439,-0.0212607,-0.0212607,-0.0212607,27.5459,0,0,,1
Design_00001_Results.csv,0.304296,3.8037,0.321509,0.123937,0.385555,,,-0.369517,-0.0210267,-0.0210267,-0.0210267,28.3354,0,0,,1
Design_00001_Results.csv,0.310263,3.87828,0.331035,0.127191,0.384321,,,-0.394663,-0.0210074,-0.0210074,-0.0210074,29.2136,0,0,,1
Design_00001_Results.csv,0.316229,3.95286,0.340561,0.130444,0.383087,,,-0.427927,-0.0196392,-0.0196392,-0.0196392,29.9912,0,0,,1
Design_00001_Results.csv,0.322196,4.02745,0.350125,0.133586,0.381597,,71.2539,-0.467486,-0.0170734,-0.0170734,-0.0170734,30.7665,0,0,,1
Design_00001_Results.csv,0.328162,4.10203,0.359753,0.136536,0.379666,71.2539,69.716,-0.501502,-0.0142758,-0.0142758,-0.0142758,31.7075,0,0,0.884073,1
Design_00001_Results.csv,0.334129,4.17661,0.369381,0.139485,0.377735,68.1781,69.0977,-0.53697,-0.00939689,-0.00939689,-0.00939689,32.447,0,0,0.838401,1
Design_00001_Results.csv,0.340095,4.25119,0.379011,0.142436,0.375812,67.861,68.8487,-0.569543,-0.00482094,-0.00482094,-0.00482094,33.2048,0,0,0.827227,1
Design_00001_Results.csv,0.346062,4.32578,0.388803,0.145521,0.374367,68.1018,67.9575,-0.601112,0.000495809,0.000495809,0.000495809,34.1198,0.00943548,0.00027654,0.823053,1
Design_00001_Results.csv,0.352029,4.40036,0.398595,0.148606,0.372921,67.6892,67.6863,-0.645207,0.00393428,0.00393428,0.00393428,35.0419,0.0308079,0.000879172,0.81118,1
Design_00001_Results.csv,0.357995,4.47494,0.408387,0.151691,0.371475,67.0934,67.4369,-0.673837,0.0100006,0.0100006,0.0100006,36.0302,0.167098,0.0046377,0.797387,1
Design_00001_Results.csv,0.363962,4.54952,0.418628,0.155204,0.37076,66.8633,67.1178,-0.714137,0.0156765,0.0156765,0.0156765,37.2389,0.309132,0.0083013,0.788186,1
Design_00001_Results.csv,0.369928,4.62411,0.429097,0.158934,0.370416,66.8253,66.8982,-0.750101,0.0224903,0.0224903,0.0224903,38.2673,0.50995,0.013326,0.781433,1
Design_00001_Results.csv,0.375895,4.69869,0.439566,0.162664,0.370072,66.8109,66.8257,-0.777701,0.0284799,0.0284799,0.0284799,39.4932,0.71146,0.0180147,0.775113,1
Design_00001_Results.csv,0.381862,4.77327,0.450093,0.166336,0.369577,66.8035,66.8541,-0.802702,0.0343844,0.0343844,0.0343844,40.532,1.00699,0.0248444,0.76902,1
Design_00001_Results.csv,0.387828,4.84785,0.460746,0.169877,0.368751,66.9766,66.8499,-0.831589,0.0431969,0.0431969,0.0431969,41.8107,1.33131,0.0318414,0.765132,1
Design_00001_Results.csv,0.393795,4.92243,0.4714,0.173419,0.367925,66.8086,66.8397,-0.859755,0.0508539,0.0508539,0.0508539,42.7001,1.68228,0.0393976,0.75748,1
Design_00001_Results.csv,0.399761,4.99702,0.482054,0.17696,0.367099,66.7701,66.8945,-0.892674,0.0593853,0.0593853,0.0593853,44.2835,2.08641,0.0471148,0.751443,1
Design_00001_Results.csv,0.405728,5.0716,0.49236,0.180495,0.366614,67.0227,67.0211,-0.926177,0.0664385,0.0664385,0.0664385,45.938,2.38282,0.0518703,0.74879,1
Design_00001_Results.csv,0.411695,5.14618,0.502651,0.184029,0.366143,67.4829,67.3375,-0.959787,0.0753658,0.0753658,0.0753658,47.4282,2.75332,0.0580525,0.74852,1
Design_00001_Results.csv,0.417661,5.22076,0.512942,0.187563,0.365671,68.0742,67.8079,-0.994052,0.0834475,0.0834475,0.0834475,49.2055,3.03069,0.0615925,0.749736,1
Design_00001_Results.csv,0.423628,5.29535,0.523301,0.191264,0.365495,68.652,68.3915,-1.03858,0.0918173,0.0918173,0.0918173,51.2657,3.34446,0.0652377,0.750827,1
Design_00001_Results.csv,0.429594,5.36993,0.533703,0.195073,0.365508,69.357,69.131,-1.07874,0.105133,0.105133,0.105133,53.3849,3.81999,0.0715556,0.753322,1
Design_00001_Results.csv,0.435561,5.44451,0.544105,0.198882,0.365521,70.4409,69.9419,-1.13825,0.122533,0.122533,0.122533,56.0149,4.33199,0.0773364,0.759909,1
Design_00001_Results.csv,0.441527,5.51909,0.554454,0.202624,0.365452,71.3179,70.912,-1.18347,0.13327,0.13327,0.13327,58.6935,4.76628,0.0812063,0.764225,1
Design_00001_Results.csv,0.447494,5.59368,0.564653,0.206171,0.365142,72.5322,72.0309,-1.23776,0.147843,0.147843,0.147843,61.7406,5.3407,0.0865023,0.772111,1
Design_00001_Results.csv,0.453461,5.66826,0.574852,0.209717,0.364833,73.8327,73.0128,-1.29509,0.163283,0.163283,0.163283,64.789,5.95921,0.0919788,0.780842,1
Design_00001_Results.csv,0.459427,5.74284,0.585051,0.213264,0.364524,74.3687,73.6825,-1.34541,0.178248,0.178248,0.178248,67.4111,6.55045,0.0971717,0.78146,1
Design_00001_Results.csv,0.465394,5.81742,0.595264,0.216808,0.364233,73.9965,74.1974,-1.39677,0.193354,0.193354,0.193354,70.1168,7.31233,0.104288,0.772622,1
Design_00001_Results.csv,0.47136,5.892,0.605479,0.220352,0.363943,74.5917,74.5154,-1.47756,0.200121,0.200121,0.200121,73.2172,7.85974,0.107348,0.773965,1
Design_00001_Results.csv,0.477327,5.96659,0.615695,0.223896,0.363654,75.1049,74.745,-1.51289,0.208134,0.208134,0.208134,75.9917,8.48175,0.111614,0.774478,1
Design_00001_Results.csv,0.483294,6.04117,0.626689,0.227899,0.363649,75.287,75.1071,-1.58152,0.21363,0.21363,0.21363,78.7691,9.18009,0.116544,0.771621,1
Design_00001_Results.csv,0.48926,6.11575,0.638316,0.232274,0.363875,75.4448,75.376,-1.63622,0.220698,0.220698,0.220698,82.0468,9.80713,0.119531,0.768582,1
