file,z [mm],d_cmd [um],F_n [N],F_t [N],SCOF [-],w0 [um],w0_s [um],h_r [um],h_p [um],h_p_left [um],h_p_right [um],A_groove [um^2],A_pile [um^2],A_ratio [-],k_lateral [-],present
Design_00001_Results.csv,0.214797,2.14797,0.182645,0.06459,0.353848,,,-0.0564728,0.00118272,0.00118272,0.00118272,,,,,0
Design_00001_Results.csv,0.220764,2.20764,0.191066,0.0671579,0.351553,,,-0.0586255,0.0018737,0.0018737,0.0018737,,,,,0
Design_00001_Results.csv,0.22673,2.2673,0.199598,0.0694172,0.34815,,,-0.0582002,0.00211613,0.00211613,0.00211613,,,,,0
Design_00001_Results.csv,0.232697,2.32697,0.208129,0.0716764,0.344747,,,-0.0597528,0.00283548,0.00283548,0.00283548,,,,,0
Design_00001_Results.csv,0.238663,2.38663,0.216661,0.0739357,0.341344,,,-0.0595741,0.00355078,0.00355078,0.00355078,,,,,0
Design_00001_Results.csv,0.24463,2.4463,0.225522,0.0762542,0.338352,,,-0.0606809,0.00397905,0.00397905,0.00397905,,,,,0
Design_00001_Results.csv,0.250597,2.50597,0.234477,0.0785899,0.335478,,,-0.0636442,0.00423027,0.00423027,0.00423027,,,,,0
Design_00001_Results.csv,0.256563,2.56563,0.243433,0.0809256,0.332604,,,-0.0628937,0.00514106,0.00514106,0.00514106,,,,,0
Design_00001_Results.csv,0.26253,2.6253,0.252466,0.0832346,0.329808,,,-0.0620922,0.00579227,0.00579227,0.00579227,,,,,0
Design_00001_Results.csv,0.268496,2.68496,0.261604,0.0855073,0.327116,,,-0.060492,0.00618432,0.00618432,0.00618432,,,,,0
Design_00001_Results.csv,0.274463,2.74463,0.270742,0.08778,0.324425,,,-0.0579295,0.00714064,0.00714064,0.00714064,,,,,0
Design_00001_Results.csv,0.28043,2.8043,0.279929,0.0900889,0.321838,,,-0.0625447,0.00790972,0.00790972,0.00790972,,,,,0
Design_00001_Results.csv,0.286396,2.86396,0.289755,0.0928649,0.320598,,,-0.0682304,0.00869253,0.00869253,0.00869253,,,,,0
