id,family,campaign,method,traj,step,moved,sign,status,file,fine_size_x,mass_scale,force_source,n_window,Fn_half_N,Fn_cv_pct,Ft_half_N,scof,contact_radius_mm,H_MPa,residual_depth_mm,residual_rel_pct,pile_up_mm,pile_up_max_mm,pile_up_ratio,profile_method,profile_n_fail_flags,profile_n_warn_flags,AE_over_IE_pct,KE_over_IE_pct,PW_over_IE_pct,MW_over_IE_pct,ETOTAL_drift_pct,wallclock_s,family_resolved,q_quasi_static,q_hourglass,q_energy_total,q_artificial_energy,q_force_magnitude,q_strain_level,q_friction_physics,q_steady_state,q_settling,q_recovery,parse_error,u_X,u_h,u_q,u_s,u_eps_soft,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_q,g_s,g_eps_soft,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0
00011,glassy_pc,CDP_drucker_prager_unified,morris,1,0,,0,FAIL,Design_00011_Results.csv,0.01,20000.0,RF2,11,0.983561472459273,2.9574626108910493,0.46516208215193316,0.4729364611942895,0.12287187078897964,82.94814643816248,0.00023478052753489465,0.5869513188372366,0.008334417827427387,nan,35.498760970237065,at_final_position,0,0,1.8568436819115897,0.06423156048282844,9.382490047674144,0.0,14.000731781076697,957.0,1,FAIL,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,0.3333333333,1,0.3333333333,0,0.3333333333,0.3333333333,0,5,0.3,0.1166666667,0.35,0.05333333333,1,0.852,0.1833333333,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.05333333333,0.852,1,0.3,0.1833333333,60,0.39,140,0,1.1e-09,50,17.5,25.66666667
00012,glassy_pc,CDP_drucker_prager_unified,morris,1,1,mu_eff,1,FAIL,Design_00012_Results.csv,0.01,20000.0,RF2,11,1.123856251890009,2.704663167193213,0.9701805981722745,0.8632604005545234,0.12287187078897964,94.7798338665375,0.0007062809891067445,1.7657024727668613,0.018428215757012367,nan,26.091903988976263,at_final_position,0,0,2.755226916451696,0.14478074526767368,10.44157676974103,0.0,4.728011198030084,1447.0,1,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,0.3333333333,1,0.3333333333,0,0.3333333333,1,0,5,0.3,0.1166666667,0.35,0.05333333333,1,0.852,0.45,0,367.1514699,433.0127019,5.833333333,5,0,30,8,0,2.5,0.05333333333,0.852,1,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00014,glassy_pc,CDP_drucker_prager_unified,morris,1,3,q,1,FAIL,Design_00014_Results.csv,0.01,20000.0,RF2,11,1.086424101482738,3.111060211265434,0.686811468817971,0.6321762080578103,0.12287187078897964,91.62301288440392,0.000506051757838577,1.2651293945964426,0.009750003926455975,nan,19.26681169550661,at_final_position,0,0,5.929863812368321,0.4393272936478642,17.08878278742369,0.0,6.995328828549659,1105.0,1,FAIL,WARN,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,1,1,1,0,0.3333333333,1,0,5,0.3,0.35,0.35,0.12,1,0.852,0.45,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.12,0.852,1,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00015,glassy_pc,CDP_drucker_prager_unified,morris,1,4,beta,1,FAIL,Design_00015_Results.csv,0.01,20000.0,RF2,11,1.0968379974365234,3.0568311920275386,0.7715408205986023,0.7034227683594205,0.12287187078897964,92.50126339619605,0.0002759949420578778,0.6899873551446944,0.010571091435849667,nan,38.301757840304354,at_final_position,0,0,1.9674543185507112,0.07550753246751242,16.664316967198957,0.0,8.181952585856756,934.0,1,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,1,1,1,0.6666666667,0.3333333333,1,0,5,0.3,0.35,0.35,0.12,23.66666667,0.852,0.45,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.12,0.852,23.66666667,0.3,0.45,60,0.39,140,0,1.1e-09,50,17.5,63
00016,glassy_pc,CDP_drucker_prager_unified,morris,1,5,phi,1,FAIL,Design_00016_Results.csv,0.01,20000.0,RF2,11,1.0523731383410366,3.095787344978266,0.6736399531364441,0.6401151156312975,0.12287187078897964,88.75134257591155,0.00024354357447009534,0.6088589361752383,0.007686282973736525,nan,31.560196118745566,at_final_position,0,0,1.8823186634509177,0.0758242581154401,21.964785321848098,0.0,11.376140571191417,930.0,1,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0.6666666667,1,1,1,0.6666666667,0.3333333333,1,0.6666666667,5,0.3,0.35,0.35,0.12,23.66666667,0.852,0.45,0.6666666667,367.1514699,433.0127019,17.5,5,0.3,30,8,0,2.5,0.12,0.852,23.66666667,0.3,0.45,60,0.39,140,0.6666666667,1.1e-09,50,17.5,21
00018,glassy_pc,CDP_drucker_prager_unified,morris,1,7,K,1,FAIL,Design_00018_Results.csv,0.01,20000.0,RF2,11,1.0035456744107334,3.0545554854227954,0.6398609822446649,0.6376002593209138,0.12287187078897964,84.63350374051268,3.3591284591238946e-05,0.08397821147809736,0.02333856001496315,nan,694.7802175166042,at_final_position,0,0,3.730732353356515,0.05534750054304027,12.990004299647747,0.0,7.657640902267896,2391.0,1,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0,1,1,1,0.6666666667,1,1,0.6666666667,5,0,0.35,0.35,0.12,23.66666667,1,0.45,0.6666666667,367.1514699,433.0127019,17.5,5,0.3,30,8,0,2.5,0.12,1,23.66666667,0,0.45,60,0.39,140,0.6666666667,1.1e-09,50,17.5,21
00019,glassy_pc,CDP_drucker_prager_unified,morris,1,8,s,-1,FAIL,Design_00019_Results.csv,0.01,20000.0,RF2,11,0.9995201988653704,3.448258239845323,0.6051516099409624,0.6054421017483338,0.12287187078897964,84.29401734909769,5.7096014643320814e-05,0.14274003660830203,0.00684775598347187,nan,119.93404489349822,at_final_position,0,0,3.3480139129232165,0.12283790817309041,37.161936646712974,0.0,15.433345265159504,1060.0,1,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,SKIP,PASS,WARN,,0,0,1,0.3333333333,1,0.6666666667,1,1,0.6666666667,5,0,0.35,0.1166666667,0.12,23.66666667,1,0.45,0.6666666667,367.1514699,433.0127019,17.5,5,0.3,30,8,0,2.5,0.12,1,23.66666667,0,0.45,60,0.39,140,0.6666666667,1.1e-09,50,5.833333333,21
00021,glassy_pc,CDP_drucker_prager_unified,morris,2,0,,0,WARN,Design_00021_Results.csv,0.01,20000.0,RF2,11,2.790617054158991,2.1576166092375115,0.6902667121453718,0.24735271760653582,0.12287187078897964,235.34524129176737,0.01270503830164671,31.762595754116774,0.017333924770355225,nan,1.364334711852743,at_final_position,0,0,0.8116088000471379,0.012632222544897535,2.0787968094989187,0.0,4.182791167780292,2085.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,0.6666666667,0,1,0,0.3333333333,0,0.6666666667,0,0.6666666667,26.20741394,0,0.35,0,0.05333333333,1,0.926,0.05,0.6666666667,1924.41811,2269.628624,17.5,26.20741394,0.03333333333,30,8,0,2.5,0.05333333333,0.926,1,0,0.05,60,0.39,140,0.6666666667,1.1e-09,50,0,2.333333333
00022,glassy_pc,CDP_drucker_prager_unified,morris,2,1,phi,-1,WARN,Design_00022_Results.csv,0.01,20000.0,RF2,11,2.7805149338462134,2.036422758788525,0.6920537027445707,0.2488940786904068,0.12287187078897964,234.4932842168882,0.012640225701034069,31.600564252585173,0.01694847084581852,nan,1.3408360931745074,at_final_position,0,0,0.7926493056286619,0.012749720989681086,2.1306686113945825,0.0,4.190157491782947,2011.0,1,PASS,PASS,PASS,WARN,PASS,PASS,PASS,SKIP,PASS,PASS,,0.6666666667,0,1,0,0.3333333333,0,0.6666666667,0,0,26.20741394,0,0.35,0,0.05333333333,1,0.926,0.05,0,1924.41811,2269.628624,17.5,26.20741394,0,30,8,0,2.5,0.05333333333,0.926,1,0,0.05,60,0.39,140,0,1.1e-09,50,0,7
00023,glassy_pc,CDP_drucker_prager_unified,morris,2,2,X,-1,WARN,Design_00023_Results.csv,0.01,20000.0,RF2,11,1.0284087495370344,3.2120989277393686,0.03979660367423838,0.03869726282682239,0.12287187078897964,86.73031828055645,0.0008167587220668793,2.041896805167198,0.00029516464564949274,nan,0.36138536103116575,at_final_position,0,0,0.7910868964892817,0.15381252584136135,12.26409474468977,0.0,103.96722966959932,711.0,1,PASS,PASS,PASS,WARN,PASS,PASS,WARN,SKIP,PASS,WARN,,0,0,1,0,0.3333333333,0,0.6666666667,0,0,5,0,0.35,0,0.05333333333,1,0.926,0.05,0,367.1514699,433.0127019,17.5,5,0,30,8,0,2.5,0.05333333333,0.926,1,0,0.05,60,0.39,140,0,1.1e-09,50,0,7
