# Simulated using Abaqus — Aarhus University
# Made by Peter Thorhauge Moellmann(ft. Jacques Nithart)
# Simulation date and time: 2026-06-09 09:42:20
# ----------------------------
# Indenter type: rockwell with tip radius 0.2mm and cone angle 60 degrees
# Material parameters: rho=1.2e-09, C10=0.3, C01=0.03, D1=0.1, mu_friction=0.3
# WallclockTime=182.00 s
Time,RF1,RF2,RF3,ALLKE,ALLIE,ALLAE,NodeLabel,x_undeformed,y_undeformed,z_undeformed,x_deformed,y_deformed,z_deformed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.24,0.0,0.0,0.25855196,4.5569147914648056e-05,-0.007282560225576162
0.00010174597264267504,-7.2436400841979776e-06,-2.723540092119947e-05,2.5836093300313223e-06,8.764229342261842e-09,4.3532210725061304e-08,1.4026637629172e-08,321,0.2,0.0,0.0,0.21556552,-0.00011939788237214088,-0.00678076921030879
0.0002031269541475922,-1.538064498163294e-05,-0.00014485223800875247,-2.7471926387079293e-06,2.9719087635271535e-08,1.56637952386518e-07,4.301402967143986e-08,322,0.16,0.0,0.0,0.17150043,0.0001581963151693344,-0.005987253505736589
0.0003010139043908566,-1.1288261703157332e-05,-0.0002643534680828452,2.32351703743916e-05,4.303632650248801e-08,4.682943028910813e-07,6.847497502349142e-08,323,0.12,0.0,0.0,0.12756589,-0.0002658427692949772,-0.005406148731708527
0.0004013952275272459,-5.255843643681146e-05,-0.0004190189065411687,-1.2082089597242884e-05,7.130107348984893e-08,1.03321724509442e-06,1.3312082103311695e-07,324,0.08,0.0,0.0,0.08449094,-0.00012950319796800613,-0.005078586749732494
0.000501135247759521,-2.3921082174638286e-05,-0.0005846121348440647,1.667732976784464e-05,1.1752621986715894e-07,1.8604189335746923e-06,1.6716336403987953e-07,325,0.04,0.0,0.0,0.04218465,-0.0010199970565736294,-0.004241300281137228
0.0006030207732692361,-2.9320153771550395e-05,-0.0007392631960101426,2.1538302462431602e-05,1.4467731546119467e-07,3.0838173188385554e-06,2.2778627339903323e-07,12,0.0,0.0,0.0,1.731515e-05,-0.0011704298667609692,-0.003919023554772139
0.000700961914844811,3.8764737837482244e-05,-0.0009056039853021502,2.4589282475062646e-05,1.4703906003887823e-07,4.549184723146027e-06,3.0715506227352307e-07,389,0.24,0.0,0.039682537317276,0.257729,0.00013384921476244926,0.03320882190018892
0.0008008551667444408,2.8957940230611712e-05,-0.0010813463013619184,2.5236910005332902e-05,1.31005492676195e-07,6.400321126420749e-06,4.0387857325185905e-07,2274,0.2,0.0,0.039682537317276,0.21469307,-0.00023101968690752983,0.03382735187187791
0.0009023416205309331,5.7426663261139765e-05,-0.0012542179320007563,6.244786345632747e-05,1.2452319708700088e-07,8.59183091961313e-06,5.229684916230326e-07,2273,0.16,0.0,0.039682537317276,0.17057635,0.00029191887006163597,0.034862942062318325
