id,status,traj,step,moved,sign,file,error,z_extraction [mm],wallclock [s],KE_IE_steady_max [%],KE_IE_overall_max [%],AE_IE_final [%],E_ref [mJ],ETOTAL_drift [%],ALLIE_max [mJ],ALLPW [%],KE_final_over_IE_peak [%],F_n [N],F_t [N],F_fit_mode [-],F_fit_n [samples],F_fit_z [mm],SCOF_mean [-],SCOF_std [-],SCOF_n [samples],h_r [mm],h_p [mm],h_fp [mm],quality_flags,in_design,u_X,g_X,u_h,g_h,u_w,g_w,u_eps_c,g_eps_c,u_beta,g_beta,u_K,g_K,u_mu_eff,g_mu_eff,u_phi,g_phi
00001,SUSPECT,0,0,,0,Design_00001_Results.csv,,1.9809069212410502,5769.0,0.04750399846378126,0.6216774070314534,4.22475692294542,0.7670456767082214,3.156365489263993,0.609454333782196,3.9978277362827925,0.002594080112595113,5.046989284036478,1.7852301628558658,ramp_fit,21,2.0,0.2583926808249146,0.06500455910703379,80,0.03641183874913465,0.021859111174202566,0.039782763008996344,AE_IE_final=4.22%>2; ETOTAL_drift=3.16%>1; ALLPW=4%>2,1,1.0,60.0,0.0,0.0,0.3333333333,-0.1166666667,0.0,0.05,0.0,1.0,0.6666666667,0.926,0.0,0.05,0.3333333333,0.3166666667
00002,SUSPECT,0,1,w,1,Design_00002_Results.csv,,1.9809069212410502,3930.0,0.036299100537081304,0.6216774070314534,1.9671005424697654,0.9383769631385803,2.314659076873586,0.7683329582214355,3.360432097914593,0.002841364951470175,7.005035887548932,2.2592571292604706,ramp_fit,21,2.0,0.22928788379399342,0.060821055317632024,77,0.035322610155938204,0.02043368143772096,0.031161298909702588,ETOTAL_drift=2.31%>1; ALLPW=3.36%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.0,1.0,0.6666666667,0.926,0.0,0.05,0.3333333333,0.3166666667
00003,SUSPECT,0,2,K,-1,Design_00003_Results.csv,,1.9809069212410502,4664.0,0.03722887649732127,0.6216774070314534,2.149539076325398,0.952132523059845,2.270898750616074,0.7812443375587463,3.488077021144121,0.0016006883999308604,7.057604944551142,2.305135608235478,ramp_fit,21,2.0,0.23331838906793825,0.0618044276607234,78,0.0351540064249407,0.02001356846869294,0.03414487321420871,AE_IE_final=2.15%>2; ETOTAL_drift=2.27%>1; ALLPW=3.49%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.0,1.0,0.0,0.778,0.0,0.05,0.3333333333,0.3166666667
00004,SUSPECT,0,3,beta,1,Design_00004_Results.csv,,1.9749403341288783,3785.0,0.03617683748935077,0.6216774070314534,1.4907845161862128,1.0577929019927979,1.7063115479984583,0.8924247622489929,2.2346337963646445,0.0015872463877792363,8.544756720076386,2.6014622620173853,ramp_fit,21,2.0,0.20681882185858438,0.059645076130341326,76,0.03392071689176007,0.015052068646555488,0.024569295222083985,ETOTAL_drift=1.71%>1; ALLPW=2.23%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,0.3333333333,0.3166666667
00005,SUSPECT,0,4,phi,1,Design_00005_Results.csv,,1.9749403341288783,3875.0,0.0321349841649075,0.5697181549888697,1.5469239658861271,1.0992059707641602,1.6192580072700788,0.9076070189476013,2.202149407622412,0.0016376541991360118,8.539355820907655,2.6926724234700714,ramp_fit,21,2.0,0.21744167263008857,0.061020629558836255,76,0.034002078606175545,0.01545965472891252,0.025749168703659932,ETOTAL_drift=1.62%>1; ALLPW=2.2%>2,1,1.0,60.0,0.0,0.0,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00006,SUSPECT,0,5,h,1,Design_00006_Results.csv,,1.9689737470167064,3705.0,0.03370146016347765,0.5697181549888697,1.4269520807030378,1.1326059103012085,1.5099569597677063,0.933153510093689,2.1005378506990904,0.002061712592318207,9.057253001572246,2.82993845660965,ramp_fit,21,2.0,0.21926086677826517,0.059796442207514226,76,0.033238183634432365,0.013977235741138594,0.022155212284612043,ETOTAL_drift=1.51%>1; ALLPW=2.1%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.0,0.05,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00007,SUSPECT,0,6,eps_c,1,Design_00007_Results.csv,,1.9749403341288783,4253.0,0.03527340121752685,0.5697181549888697,1.4835590825639244,1.1118483543395996,1.5004359929614577,0.920527458190918,2.0203803517475336,0.00237951811295632,8.681232307896467,2.7594069061857267,ramp_fit,21,2.0,0.22176638768767892,0.06081447081397282,76,0.03394303257098051,0.01413500679410112,0.02270746455319098,ETOTAL_drift=1.5%>1; ALLPW=2.02%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.0,0.05,1.0,0.95
00008,SUSPECT,0,7,mu_eff,1,Design_00008_Results.csv,,1.9749403341288783,3583.0,0.03237049452396048,0.5728439545858136,1.8986383875348973,2.4295880794525146,0.7612227673135219,1.5238847732543945,2.6458887631936276,0.0021027913823017104,8.121873300312915,5.794348264669441,ramp_fit,21,2.0,0.5861778897184756,0.08616785747862686,76,0.03569662788604316,0.01278779988036444,0.04179993010254362,ALLPW=2.65%>2,1,1.0,60.0,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00009,SUSPECT,0,8,X,-1,Design_00009_Results.csv,,1.909307875894988,2023.0,0.10301547822254074,1.2045695817152615,0.9681789521710914,1.3532267808914185,1.3768319468940922,0.7060725688934326,2.2263465595295995,0.004608894358833216,5.817652648661557,3.56120384823192,ramp_fit,21,2.0,0.4785237028333091,0.07727165139042863,73,0.026894217719936213,0.00734819898885449,0.025666730466856406,ETOTAL_drift=1.38%>1; ALLPW=2.23%>2,1,0.3333333333,20.51971136,0.6666666667,0.3,1.0,0.35,0.6666666667,0.15,0.6666666667,23.66666667,0.0,0.778,0.6666666667,0.3166666667,1.0,0.95
00010,SUSPECT,1,0,,0,Design_00010_Results.csv,,1.9689737470167064,2867.0,0.0479884857690103,0.8230162014695399,1.2385966488207896,0.7154104113578796,2.6498736607843973,0.5764115452766418,2.309552121853649,0.001579265049689992,6.084647283925635,1.7803933150840514,ramp_fit,21,2.0,0.19741936026781137,0.05875939823940972,75,0.03193534850647051,0.016615709396968804,0.023070757174413474,ETOTAL_drift=2.65%>1; ALLPW=2.31%>2,1,0.6666666667,35.08821286,0.0,0.0,0.6666666667,0.1166666667,0.0,0.05,0.3333333333,12.33333333,0.6666666667,0.926,0.0,0.05,1.0,0.95
