# Simulated using Abaqus — Aarhus University
# Made by Peter Thorhauge Moellmann(ft. Jacques Nithart)
# Simulation date and time: 2026-06-16 14:18:59
# ----------------------------
# Indenter type: rockwell with tip radius 0.2mm and cone angle 60 degrees
# Material parameters: rho=1.2e-09, C10=1.0, C01=0.1, D1=0.018, mu_friction=0.3
# WallclockTime=902.00 s
Time,RF1,RF2,RF3,ALLKE,ALLIE,ALLAE,WM_ALLKE,WM_ALLIE,WM_ALLVD,WM_ALLFD,WM_ALLWK,WM_ALLPW,WM_ALLCW,WM_ALLMW,ETOTAL,NodeLabel,x_undeformed,y_undeformed,z_undeformed,x_deformed,y_deformed,z_deformed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001999735832214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001999735832214,11,0.24,0.0,0.0,0.25496304,3.0067749321460724e-06,-0.006178561598062515
0.020001200959086418,0.0,0.0,0.0,8.885247138740171e-13,-3.047608831963089e-10,8.481908231328106e-11,0.5002000331878662,-3.047608831963089e-10,3.904017664702053e-10,8.16094036792947e-09,8.256912487070167e-09,-9.538069986603226e-12,0.0,0.0,0.5002000331878662,321,0.2,0.0,0.0,0.21085039,5.944166332483292e-06,-0.005844613071531057
0.0400012843310833,5.202953730076842e-07,-2.6176263418165036e-05,7.803118023730349e-06,9.644445615394903e-13,1.189124976264111e-08,5.148466097892879e-09,0.5002000331878662,1.189124887446269e-08,7.194371764995822e-10,8.651743144127977e-08,9.95732207798028e-08,-4.395252217737067e-10,0.0,0.0,0.5002000331878662,322,0.16,0.0,0.0,0.16688097,1.5301629900932312e-06,-0.00511581264436245
0.06000075116753578,3.0327709055200103e-07,-1.7630867660045624e-05,7.1158824539452326e-06,1.4057626590568972e-12,9.928142752357871e-09,8.539102758220452e-09,0.5002000331878662,9.928142752357871e-09,1.048851117069205e-09,1.967370906186261e-07,2.0812564116567955e-07,-4.055582814022074e-10,0.0,0.0,0.5002000331878662,323,0.12,0.0,0.0,0.12355696,4.534609615802765e-06,-0.004592761397361755
0.08000122010707855,1.023840809466492e-06,-5.0466289394535124e-05,1.5080478078743909e-05,2.3217530328856206e-11,6.089209136916907e-08,3.193025577274966e-08,0.5002000331878662,6.089209136916907e-08,1.4792717051292925e-09,4.3643976255225425e-07,5.005738898944401e-07,-1.707552099716736e-09,0.0,0.0,0.5002000331878662,324,0.08,0.0,0.0,0.08138335,3.2945536077022552e-06,-0.004064338747411966
0.10000167787075043,1.9109218101220904e-06,-0.00010000335169024765,3.235058466088958e-05,6.208937530782777e-11,9.503595777005103e-08,4.7789310286816544e-08,0.5002000331878662,9.503595777005103e-08,2.0914923126724716e-09,8.390165362470725e-07,9.402419891557656e-07,-3.950928917362262e-09,0.0,0.0,0.5002000331878662,325,0.04,0.0,0.0,0.040370494,4.597008228302002e-06,-0.004037753213196993
0.12000034749507904,1.588625309523195e-06,-7.40478717489168e-05,2.194634362240322e-05,2.4511630572487952e-11,1.6046872985953087e-07,9.487615670877858e-08,0.5002000331878662,1.6046872985953087e-07,2.524566999895228e-09,1.3602156059278059e-06,1.5276508520400967e-06,-4.200086500816269e-09,0.0,0.0,0.5002000331878662,12,0.0,0.0,0.0,0.0,-1.0719522833824158e-06,-0.003855092218145728
0.14000080525875092,3.5593238862929866e-06,-0.00017237880092579871,5.402492388384417e-05,2.0352615426322274e-10,2.741366813552304e-07,1.292580833478496e-07,0.5002000331878662,2.7413665293352096e-07,3.796140291001393e-09,2.1517651020985795e-06,2.4431285510218004e-06,-1.2855455366889146e-08,0.0,0.0,0.5002000331878662,389,0.24,0.0,0.039682537317276,0.25437465,1.4644581824541092e-05,0.03494329657405615
0.16000032424926758,7.670300874451641e-06,-0.00016478844918310642,5.5074931879062206e-05,9.026582953319817e-11,3.240614319111046e-07,1.8309428639895486e-07,0.5002000331878662,3.24061460332814e-07,4.249343987794418e-09,3.096999989793403e-06,3.4387705909466604e-06,-1.2466572663072384e-08,0.0,0.0,0.5002000331878662,2274,0.2,0.0,0.039682537317276,0.20980155,9.667593985795975e-06,0.0356855490244925
0.1800011694431305,5.2687937568407506e-06,-0.0002426622959319502,7.472899596905336e-05,2.7154967163767196e-10,5.337509492164827e-07,2.446414555379306e-07,0.5002000331878662,5.337509492164827e-07,5.936926505967222e-09,4.411472218635026e-06,4.98275539939641e-06,-3.040790730324261e-08,0.0,0.0,0.5002000331878662,2273,0.16,0.0,0.039682537317276,0.16599105,9.754206985235214e-06,0.036273384699597955
0.2000005543231964,1.856548260548152e-05,-0.0003105917712673545,0.00010524968820391223,2.2563803603325994e-10,6.288594818215643e-07,2.9653830324605224e-07,0.5002000331878662,6.288594818215643e-07,6.8156635890659345e-09,6.038825176801765e-06,6.715127256029518e-06,-3.966855288695115e-08,0.0,0.0,0.5002000331878662,2272,0.12,0.0,0.039682537317276,0.12289268,7.453840225934982e-06,0.03700679098255932
0.22000133991241455,1.3990447769174352e-05,-0.000356694043148309,0.00011176098632859066,3.2953656470269266e-10,8.943964644458902e-07,3.8746532027289504e-07,0.5002000331878662,8.943964644458902e-07,1.0652307480540912e-08,8.087056812655646e-06,9.060510819836054e-06,-6.691289655691435e-08,0.0,0.0,0.5002000331878662,2271,0.08,0.0,0.039682537317276,0.081105515,6.29667192697525e-06,0.037708727177232504
0.24000054597854614,2.880595093301963e-05,-0.0004663313156925142,0.00015310676826629788,3.2985691955644825e-10,1.1054718243030948e-06,4.5771099621561007e-07,0.5001999735832214,1.1054718243030948e-06,1.1881272854452618e-08,1.0589020348561462e-05,1.1796560102084186e-05,-8.860116196274248e-08,0.0,0.0,0.5001999735832214,2270,0.04,0.0,0.039682537317276,0.040264245,1.193443313241005e-05,0.03810695931315422
0.26000016927719116,4.126800922676921e-05,-0.0005851665046066046,0.00018134733545593917,4.900347905234526e-10,1.4600686881749425e-06,5.549741217691917e-07,0.5002000331878662,1.4600686881749425e-06,1.7987453304613155e-08,1.3659285286848899e-05,1.5278832506737672e-05,-1.3874840476546524e-07,0.0,0.0,0.5002000331878662,388,0.0,0.0,0.039682537317276,-1.0244548e-08,4.2719766497612e-06,0.03758893930353224
0.2800016701221466,3.9310842112172395e-05,-0.0006251652375794947,0.00020022981334477663,6.433464316835114e-10,1.7652338328844053e-06,6.755489039278473e-07,0.5002000331878662,1.7652337191975676e-06,2.0465314776174637e-08,1.724971843941603e-05,1.9213464838685468e-05,-1.752112268604833e-07,0.0,0.0,0.5002000331878662,390,0.24,0.0,0.079365074634552,0.25348616,9.324867278337479e-06,0.07608191552571952
0.3000012934207916,6.76922281854786e-05,-0.0008157636621035635,0.0002487223828211427,5.570639505236841e-10,2.2622007236350328e-06,7.654913929400209e-07,0.5002000331878662,2.2622007236350328e-06,2.769839291261178e-08,2.1556947103817947e-05,2.4097360437735915e-05,-2.47678627829373e-07,0.0,0.0,0.5002000331878662,2269,0.2,0.0,0.079365074634552,0.20892201,8.459668606519699e-06,0.07685749535448849
