# Simulated using Abaqus — Aarhus University
# Made by Peter Thorhauge Moellmann(ft. Jacques Nithart)
# Simulation date and time: 2026-06-15 10:23:04
# ----------------------------
# Indenter type: rockwell with tip radius 0.2mm and cone angle 60 degrees
# Material parameters: rho=1.2e-09, C10=30, C01=3, D1=0.001, mu_friction=0.3
# WallclockTime=4124.00 s
Time,RF1,RF2,RF3,ALLKE,ALLIE,ALLAE,ALLPW,ETOTAL,NodeLabel,x_undeformed,y_undeformed,z_undeformed,x_deformed,y_deformed,z_deformed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.006004333496094,11,0.24,0.0,0.0,0.24888344,3.891065716743469e-06,-0.007409891579300165
0.0010000575566664338,1.422550099050568e-06,-0.00012888542551081628,3.88085245504044e-05,3.065400364099524e-11,7.655580169796394e-09,5.46591083505632e-09,0.0,60.006004333496094,606,0.22,0.0,0.0,0.22669269,4.116445779800415e-06,-0.006680905353277922
0.0020000122021883726,2.7507494451128878e-06,-0.0002485593722667545,7.460831693606451e-05,2.6292967802987732e-11,6.18842221911109e-08,3.586701069480114e-08,0.0,60.006004333496094,607,0.2,0.0,0.0,0.20477384,3.3318065106868744e-06,-0.005943634081631899
0.003000040305778384,4.223431915306719e-06,-0.0003678952343761921,0.00011070338950958103,1.8350596042715495e-10,1.834269340861283e-07,1.1396382149087003e-07,0.0,60.006004333496094,608,0.18,0.0,0.0,0.18303254,4.142057150602341e-06,-0.005281928926706314
0.00400012731552124,8.422772225458175e-06,-0.0005318998009897768,0.00016090177814476192,3.7092509619363057e-10,3.7798102425767865e-07,2.4230283202086866e-07,0.0,60.006004333496094,609,0.16,0.0,0.0,0.16182362,4.020286723971367e-06,-0.0047135562635958195
0.005000077188014984,3.4029439120786265e-05,-0.0011522109853103757,0.00036349159199744463,4.168212719424247e-10,6.967632657506329e-07,3.9268471141440386e-07,0.0,60.006004333496094,610,0.14,0.0,0.0,0.14099707,2.483837306499481e-06,-0.004172464832663536
0.006000034045428038,5.8450987125979736e-05,-0.0018362788250669837,0.0005738462787121534,5.725961926827949e-10,1.1870661182911135e-06,5.860438250238076e-07,0.0,60.006004333496094,611,0.12,0.0,0.0,0.120458744,3.74671071767807e-06,-0.0037552700378000736
0.007000054232776165,7.973743777256459e-05,-0.002516744192689657,0.0007812349940650165,9.123429789426041e-10,1.8725274912867462e-06,8.490100640301534e-07,0.0,60.006004333496094,612,0.1,0.0,0.0,0.10025928,3.746943548321724e-06,-0.003536602947860956
0.00800007302314043,0.0001074726169463247,-0.003203366883099079,0.0009878308046609163,1.004962668638143e-09,2.7559367481444497e-06,1.1719760095729725e-06,0.0,60.006004333496094,613,0.08,0.0,0.0,0.08009176,1.6561243683099747e-06,-0.0032479388173669577
0.009000054560601711,0.0001308828650508076,-0.0038982348050922155,0.0011944982688874006,1.7481057712487313e-09,3.812316435869434e-06,1.5450801811311976e-06,0.0,60.006004333496094,614,0.06,0.0,0.0,0.060062468,4.281289875507355e-06,-0.0032295119017362595
0.010000000707805157,0.0001867896062321961,-0.004896726459264755,0.0014877854846417904,1.9469499346058683e-09,5.087216322863242e-06,1.9213016457797494e-06,0.0,60.006004333496094,615,0.04,0.0,0.0,0.04004893,6.73346221446991e-07,-0.0033990666270256042
0.011000082828104496,0.00025933232973329723,-0.0060656266286969185,0.001846460858359933,1.7375482164183609e-09,6.617009603360202e-06,2.295596914336784e-06,0.0,60.006004333496094,616,0.02,0.0,0.0,0.020047646,1.480337232351303e-06,-0.003375224070623517
0.012000028975307941,0.00032724326592870057,-0.00721775833517313,0.0021982493344694376,2.7166782157195257e-09,8.400306796829682e-06,2.6930333660857286e-06,0.0,60.005985260009766,12,0.0,0.0,0.0,0.0,2.2884923964738846e-06,-0.0034978450275957584
0.013000069186091423,0.00039689737604930997,-0.008377240970730782,0.0025519749615341425,2.8975761789951093e-09,1.0447524800838437e-05,3.121182771792519e-06,0.0,60.006004333496094,743,0.24,0.0,0.02000001072883606,0.2482262,4.8996880650520325e-06,0.014395401813089848
0.014000008814036846,0.00046636458137072623,-0.009525327943265438,0.002904223743826151,3.566690498502112e-09,1.2809725376428105e-05,3.584386149668717e-06,0.0,60.006004333496094,7244,0.22,0.0,0.02000001072883606,0.22580624,5.09270466864109e-06,0.015276222489774227
0.01500011421740055,0.0005376117187552154,-0.010665311478078365,0.003251407528296113,4.146092802415069e-09,1.5416593669215217e-05,4.085471118742134e-06,0.0,60.006004333496094,7243,0.2,0.0,0.02000001072883606,0.2039283,4.98560257256031e-06,0.01596425473690033
0.016000041738152504,0.0006497324793599546,-0.01174280233681202,0.00357662420719862,5.582897255607122e-09,1.8268739950144663e-05,4.625132987712277e-06,0.0,60.006004333496094,7242,0.18,0.0,0.02000001072883606,0.18252696,1.3113021850585938e-06,0.016560939606279135
