# Simulated using Abaqus — Aarhus University
# Made by Peter Thorhauge Moellmann(ft. Jacques Nithart)
# Simulation date and time: 2026-06-10 14:53:15
# ----------------------------
# Indenter type: rockwell with tip radius 0.2mm and cone angle 60 degrees
# Material parameters: rho=1.2e-09, C10=0.3, C01=0.03, D1=0.05, mu_friction=0.3
# WallclockTime=985.00 s
Time,RF1,RF2,RF3,ALLKE,ALLIE,ALLAE,ALLPW,ETOTAL,NodeLabel,x_undeformed,y_undeformed,z_undeformed,x_deformed,y_deformed,z_deformed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,11,0.24,0.0,0.0,0.23756458,0.00152311148121953,-0.02014983631670475
0.009999999776482582,0.00129205291159451,-0.007973527535796165,0.0006759266252629459,8.601603695979065e-08,0.00015791962505318224,7.33729302737629e-06,0.0,9000.0,321,0.2,0.0,0.0,0.1904927,4.983972758054733e-05,-0.017266055569052696
,,,,,,,,,322,0.16,0.0,0.0,0.14586411,-0.006527850870043039,-0.01358022540807724
,,,,,,,,,323,0.12,0.0,0.0,0.10602322,-0.014332998543977737,-0.010068478994071484
,,,,,,,,,324,0.08,0.0,0.0,0.06997622,-0.01905863545835018,-0.007163398899137974
,,,,,,,,,325,0.04,0.0,0.0,0.03724004,-0.0211604256182909,-0.005685758776962757
,,,,,,,,,12,0.0,0.0,0.0,0.011315083,-0.019739288836717606,-0.006074381992220879
,,,,,,,,,389,0.24,0.0,0.039682537317276,0.23611915,0.0017010499723255634,0.0191138107329607
,,,,,,,,,2274,0.2,0.0,0.039682537317276,0.18850005,-0.0004445337690412998,0.02137782797217369
,,,,,,,,,2273,0.16,0.0,0.039682537317276,0.143691,-0.007763188797980547,0.023486219346523285
,,,,,,,,,2272,0.12,0.0,0.039682537317276,0.10365854,-0.016381844878196716,0.025821233168244362
,,,,,,,,,2271,0.08,0.0,0.039682537317276,0.06808459,-0.022873595356941223,0.027772551402449608
,,,,,,,,,2270,0.04,0.0,0.039682537317276,0.03445202,-0.026078572496771812,0.02910660021007061
,,,,,,,,,388,0.0,0.0,0.039682537317276,-0.0024825507,-0.024293560534715652,0.028421754948794842
,,,,,,,,,390,0.24,0.0,0.079365074634552,0.23526359,0.001430243719369173,0.058770690113306046
,,,,,,,,,2269,0.2,0.0,0.079365074634552,0.18786724,-0.0005991905927658081,0.06012372486293316
,,,,,,,,,2268,0.16,0.0,0.079365074634552,0.14261271,-0.006759587675333023,0.06099001690745354
,,,,,,,,,2267,0.12,0.0,0.079365074634552,0.10269713,-0.015657935291528702,0.06202967092394829
,,,,,,,,,2266,0.08,0.0,0.079365074634552,0.066802576,-0.021866729483008385,0.06314490176737309
,,,,,,,,,2265,0.04,0.0,0.079365074634552,0.03315446,-0.02511618845164776,0.0643225060775876
,,,,,,,,,387,0.0,0.0,0.079365074634552,0.0019413901,-0.025737645104527473,0.06532089971005917
,,,,,,,,,391,0.24,0.0,0.119047611951828,0.2348799,0.0011573568917810917,0.09866508655250072
,,,,,,,,,2264,0.2,0.0,0.119047611951828,0.18789135,0.000161035917699337,0.09949966333806515
,,,,,,,,,2263,0.16,0.0,0.119047611951828,0.14292993,-0.004975506104528904,0.09956089220941067
,,,,,,,,,2262,0.12,0.0,0.119047611951828,0.10248664,-0.012377902865409851,0.09959824569523335
,,,,,,,,,2261,0.08,0.0,0.119047611951828,0.06586245,-0.018947139382362366,0.09995824471116066
,,,,,,,,,2260,0.04,0.0,0.119047611951828,0.0317137,-0.023265734314918518,0.10050613433122635
,,,,,,,,,386,0.0,0.0,0.119047611951828,-0.0003331108,-0.026691488921642303,0.10157675109803677
,,,,,,,,,392,0.24,0.0,0.158730149269104,0.23477247,0.0005441675893962383,0.13869652710855007
,,,,,,,,,2259,0.2,0.0,0.158730149269104,0.18863222,0.0002042660489678383,0.1395600028336048
,,,,,,,,,2258,0.16,0.0,0.158730149269104,0.14381948,-0.002197583671659231,0.1399114392697811
,,,,,,,,,2257,0.12,0.0,0.158730149269104,0.10323766,-0.008449462242424488,0.13975128903985023
,,,,,,,,,2256,0.08,0.0,0.158730149269104,0.06608978,-0.01381237804889679,0.13975291326642036
,,,,,,,,,2255,0.04,0.0,0.158730149269104,0.0317496,-0.01720641553401947,0.13951009139418602
,,,,,,,,,385,0.0,0.0,0.158730149269104,0.00047704304,-0.019727515056729317,0.1396868247538805
,,,,,,,,,393,0.24,0.0,0.19841268658638,0.23509786,0.000580368097871542,0.17896052822470665
,,,,,,,,,2254,0.2,0.0,0.19841268658638,0.18875627,0.000283039640635252,0.1798485517501831
,,,,,,,,,2253,0.16,0.0,0.19841268658638,0.1444228,-0.0034714755602180958,0.1808570008724928
,,,,,,,,,2252,0.12,0.0,0.19841268658638,0.103762165,-0.008453542366623878,0.18116422556340694
,,,,,,,,,2251,0.08,0.0,0.19841268658638,0.06685355,-0.015176697634160519,0.18073299154639244
,,,,,,,,,2250,0.04,0.0,0.19841268658638,0.032321647,-0.018376797437667847,0.17994306050240993
,,,,,,,,,384,0.0,0.0,0.19841268658638,-4.8340764e-05,-0.020778587087988853,0.17975970543920994
,,,,,,,,,394,0.24,0.0,0.238095223903656,0.23562057,0.0005305181257426739,0.21956844255328178
,,,,,,,,,2249,0.2,0.0,0.238095223903656,0.18931241,0.0006105653010308743,0.2203170210123062
,,,,,,,,,2248,0.16,0.0,0.238095223903656,0.14496396,-0.003421942237764597,0.22128557600080967
,,,,,,,,,2247,0.12,0.0,0.238095223903656,0.10526516,-0.010186607949435711,0.22100801393389702
,,,,,,,,,2246,0.08,0.0,0.238095223903656,0.06886338,-0.013111352920532227,0.22102013044059277
,,,,,,,,,2245,0.04,0.0,0.238095223903656,0.033422377,-0.01385388895869255,0.22039912827312946
,,,,,,,,,383,0.0,0.0,0.238095223903656,0.0001489115,-0.016235848888754845,0.22042684815824032
,,,,,,,,,395,0.24,0.0,0.2777777910232544,0.23576035,0.0003804578445851803,0.2603582330048084
,,,,,,,,,2244,0.2,0.0,0.2777777910232544,0.18989396,0.0010813320986926556,0.26109273731708527
,,,,,,,,,2243,0.16,0.0,0.2777777910232544,0.14636482,-0.0038468283601105213,0.2620711103081703
,,,,,,,,,2242,0.12,0.0,0.2777777910232544,0.105753876,-0.005343001801520586,0.262186324223876
,,,,,,,,,2241,0.08,0.0,0.2777777910232544,0.0688467,-0.013128101825714111,0.26235783006995916
,,,,,,,,,2240,0.04,0.0,0.2777777910232544,0.034649767,-0.013853246346116066,0.26205142959952354
,,,,,,,,,382,0.0,0.0,0.2777777910232544,8.236407e-05,-0.013360170647501945,0.2617017440497875
,,,,,,,,,396,0.24,0.0,0.317460298538208,0.23636506,0.0004022936336696148,0.3014916218817234
,,,,,,,,,2239,0.2,0.0,0.317460298538208,0.19044147,0.001858206931501627,0.30243355222046375
,,,,,,,,,2238,0.16,0.0,0.317460298538208,0.1465553,-0.004231925122439861,0.3026198213919997
,,,,,,,,,2237,0.12,0.0,0.317460298538208,0.10727672,-0.009115916676819324,0.30362319480627775
,,,,,,,,,2236,0.08,0.0,0.317460298538208,0.0705155,-0.01194816268980503,0.3037894107401371
,,,,,,,,,2235,0.04,0.0,0.317460298538208,0.035423897,-0.011553876101970673,0.30396521650254726
,,,,,,,,,381,0.0,0.0,0.317460298538208,0.00014640344,-0.011965133249759674,0.30366225354373455
,,,,,,,,,397,0.24,0.0,0.3571428656578064,0.23708183,0.0003734086640179157,0.34282656759023666
,,,,,,,,,2234,0.2,0.0,0.3571428656578064,0.19184287,0.000506026204675436,0.343613313511014
,,,,,,,,,2233,0.16,0.0,0.3571428656578064,0.14766277,-0.0017631957307457924,0.34328511357307434
,,,,,,,,,2232,0.12,0.0,0.3571428656578064,0.10756998,-0.007080832030624151,0.34373920131474733
,,,,,,,,,2231,0.08,0.0,0.3571428656578064,0.07044299,-0.011412774212658405,0.34452309738844633
,,,,,,,,,2230,0.04,0.0,0.3571428656578064,0.0354553,-0.013126473873853683,0.3447352796792984
,,,,,,,,,380,0.0,0.0,0.3571428656578064,7.801084e-05,-0.011979175731539726,0.34490271005779505
,,,,,,,,,398,0.24,0.0,0.39682537317276,0.2378387,0.0004963264800608158,0.3841746421530843
,,,,,,,,,2229,0.2,0.0,0.39682537317276,0.19288489,0.0003709872253239155,0.3847801564261317
,,,,,,,,,2228,0.16,0.0,0.39682537317276,0.14874448,-0.0003264746628701687,0.3850204823538661
,,,,,,,,,2227,0.12,0.0,0.39682537317276,0.10819749,-0.00513798650354147,0.38513127341866493
,,,,,,,,,2226,0.08,0.0,0.39682537317276,0.07117672,-0.00943230651319027,0.38569570519030094
,,,,,,,,,2225,0.04,0.0,0.39682537317276,0.03565841,-0.008777069859206676,0.38671615999192
,,,,,,,,,379,0.0,0.0,0.39682537317276,9.466102e-05,-0.008918970823287964,0.38687062729150057
,,,,,,,,,399,0.24,0.0,0.4365079402923584,0.23837206,-3.65707091987133e-05,0.42544212006032467
,,,,,,,,,2224,0.2,0.0,0.4365079402923584,0.19354708,0.0007987809367477894,0.42609512619674206
,,,,,,,,,2223,0.16,0.0,0.4365079402923584,0.1498038,-0.0003723064437508583,0.4267385406419635
,,,,,,,,,2222,0.12,0.0,0.4365079402923584,0.108844444,-0.003651619888842106,0.4269150160253048
,,,,,,,,,2221,0.08,0.0,0.4365079402923584,0.07070132,-0.007570197340101004,0.42759308870881796
,,,,,,,,,2220,0.04,0.0,0.4365079402923584,0.034949437,-0.01100969035178423,0.42845676746219397
,,,,,,,,,378,0.0,0.0,0.4365079402923584,6.764708e-05,-0.011669152416288853,0.42834215704351664
,,,,,,,,,400,0.24,0.0,0.476190447807312,0.2390359,0.00023327907547354698,0.46660610754042864
