;;;;;;;;;;;Config 1
Mesh convergence;Test 4;KE/IE (%);AE/IE (%);E drift (%);SCOF (-);RF2 (mN);Res depth (um);wallclock;;;mu = 2,0
;0,04;1,06;15,93;0,025;0,332;;7,82;40s;;;lambda_m = 2,5
;0,03;1,24;12,29;0,005;0,328;;6,09;70s;;;D = 0,018
;0,02;1,78;7,79;0,012;0,321;;3,69;3min;;;
;0,015;2,18;5,75;0,005;0,318;;2,65;8min;;;Test 4 (cf MR)
;0,01;;;;;;;;;;
