Simulations ;;;;;;;;;;;;Configuration 1;Configuration 2;;;;;
;;;;;;;;;;;;C10 = 1,0;C10 = 400;;;;;
Mesh Convergence;Test 1,1;;;;;;;;;;;C01 = 0,1;C01 = 40;;;;;
;Mesh sizes;KE/IE (%);AE/IE (%);E drift (%);SCOF (-);RF2 (mN);Res depth (um);wallclock;;;;D1 = 1,8e-2;D1 = 2,8e-5;;;;;
;100;0,01;3,86;0,028;0,325;18,81;0,067;33min;;;;;;;;;;
;;i;c;i;i;i;d;;;;;;;;;;;
;Test 1,2 no ALE;;;;;;;;;;;;;;;;;
;2000;0,03;7,16;0,002;0,319;23,09;0,065;5min;;;;;;;;;;
;1000;0,02;6,31;0,001;0,319;22,42;0,06;6min;;;;;;;;;;
;500;0,01;5,11;0;0,319;22,52;0,055;10min;;;;;;;;;;
;200;0;3,65;0;0,318;23,03;0,046;18min;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Scratch Time;Test 1;;;;;;;;;;;;;;;;;
;Scratching Times;;;;;;;;;;;;;;;;;
;0,5s;0,1;9,51;0,008;0,32;20,63;0,062;;;;;;;;;;;
;2s;0,01;5,11;0;0,319;22,52;0,055;;;;;;;;;;;
;10s;0,03;6,59;0,005;0,317;21,63;0,86;3h20;;;;;;;;;;
;50s;;;;;;;;;;;;;;;;;
