rank,factor,rel_max,rel_mean,rank_best,rank_mean,sigma_ratio_max,margin_best,n_qoi_retained,retained_in,verdict
1,X,1.0,0.9080263762408737,1,1.1666666666666667,2.0152110407900032,nan,0,,n/a
2,mu_eff,1.0,0.34651155277535844,1,3.5,1.6185394297686677,nan,0,,n/a
3,K,0.5304788511402612,0.13385466683485292,2,6.0,2.1752103557416214,nan,0,,n/a
4,s,0.25291330059900663,0.16534743444235186,2,3.3333333333333335,1.5447534798023503,nan,0,,n/a
5,q,0.1928941228561238,0.14291339120767768,3,4.833333333333333,1.7033327008577395,nan,0,,n/a
6,h,0.168278001848388,0.10494431261528166,3,4.833333333333333,2.431285291878769,nan,0,,n/a
7,beta,0.16110800858662006,0.13435394572985304,4,4.833333333333333,1.4331686849678433,nan,0,,n/a
8,phi,0.09300985136984095,0.038463839971602694,5,7.833333333333333,2.1701399511708974,nan,0,,n/a
9,eps_soft,0.022420850353230985,0.01662453929997323,8,8.666666666666666,2.052296716540097,nan,0,,n/a
