qoi,factor,mu_star,mu_star_lo,mu_star_hi,sigma,sigma_ratio,rel,rel_lo,mu_signed,n_eff,mu_star_threshold,verdict
F_n,X,2.804409889871166,1.9397541708024928,3.6495956088462327,1.2551356754029768,0.4475578551966373,1.0,0.6916799779548648,2.804409889871166,9,0.5608819779742332,RETAIN
F_n,h,1.5885672494251764,0.6731178291725154,3.5752758244011122,1.7578396306260837,1.106556635397185,0.5664533045482003,0.24002120075373087,1.5885672494251764,5,0.5608819779742332,RETAIN
F_n,w,1.3235039769198864,0.6756727097658217,1.997530140191477,1.0186382564915217,0.7696525845446563,0.4719367100009364,0.24093222328383032,1.3167031857188418,10,0.5608819779742332,RETAIN
F_n,eps_c,0.34485924882357993,0.14724461822644577,0.6331278878811011,0.45729310753753877,1.3260282538383559,0.12297034398185734,0.05250467086079566,0.12830066226339568,6,0.5608819779742332,freeze
F_n,beta,1.1393927003193665,0.5731086245342225,1.7411597822811085,0.7977585850299787,0.7001612216809627,0.4062860798040154,0.20435979298324006,1.1393927003193665,8,0.5608819779742332,RETAIN
F_n,K,0.29542268445978004,0.13323676518076694,0.4691871979339433,0.32309088616156856,1.0936563207811327,0.10534219178400905,0.04750973303224509,-0.20971402967718522,9,0.5608819779742332,freeze
F_n,mu_eff,0.4826583535175487,0.25384861161831906,0.725147905682916,0.5244906952064571,1.086670708968445,0.17210692176660453,0.09051765668604914,-0.2811380113150733,8,0.5608819779742332,freeze
F_n,phi,0.13014661718911205,0.029599236904938143,0.33457444682322685,0.24687994600423133,1.8969370955335525,0.046407844181112545,0.01055453306303164,0.08711032684240431,8,0.5608819779742332,freeze
SCOF_mean,X,0.10296439700077913,0.06072745267513181,0.13702101995505436,0.05450510923251028,0.529358796051589,0.1580034005112806,0.09318894983657393,0.10254768581624174,9,0.1303318747161116,freeze
SCOF_mean,h,0.01963149160958218,0.004801051881785399,0.04273770833473733,0.024400637798169124,1.2429334603519944,0.030125388209666162,0.00736742549317737,-0.015790650104153862,5,0.1303318747161116,freeze
SCOF_mean,w,0.0798495056679227,0.04471398233638627,0.12307561312949168,0.0593160382955639,0.7428479086927203,0.12253258205922472,0.06861557456114568,-0.0798495056679227,10,0.1303318747161116,freeze
SCOF_mean,eps_c,0.019908928992777675,0.003518108004546283,0.03734584026639629,0.028750404559924864,1.4440959918212875,0.03055112808918498,0.005398691628136881,-0.002005390099090594,6,0.1303318747161116,freeze
SCOF_mean,beta,0.07139872143127682,0.040973132690887655,0.10585761322531692,0.04231876727939419,0.5927104355800984,0.10956448157720011,0.06287507607810472,-0.07139872143127682,8,0.1303318747161116,freeze
SCOF_mean,K,0.02809068244510944,0.011177733485095775,0.04712848358360558,0.025037548791356615,0.8913115172720065,0.04310638898779973,0.017152724165816032,-0.02809068244510944,9,0.1303318747161116,freeze
SCOF_mean,mu_eff,0.651659373580558,0.5498575122758682,0.7933456500782738,0.17125537728115323,0.2627989164648802,1.0,0.8437805616984575,0.651659373580558,8,0.1303318747161116,RETAIN
SCOF_mean,phi,0.06609217913229223,0.023186348064212447,0.14499147115656863,0.10299210714138313,1.5583100526195515,0.10142135878311268,0.03558047195241665,-0.03687549494300468,8,0.1303318747161116,freeze
h_r,X,0.015131819294654486,0.011810911988156873,0.018649079689083983,0.00482453347699938,0.3188336698353059,1.0,0.7805348291681776,0.015131819294654486,9,0.0030263638589308976,RETAIN
h_r,h,0.003836578212557804,0.0011791243578272122,0.007532983556188348,0.0034160641404581554,0.8903934577110324,0.25354375028210424,0.0779235024465137,-0.003836578212557804,5,0.0030263638589308976,RETAIN?
h_r,w,0.003973613554747507,0.002388159653240908,0.0058099235736369164,0.002554606615834857,0.6428925663349221,0.2625998551377915,0.1578236963274176,-0.003973613554747507,10,0.0030263638589308976,RETAIN?
h_r,eps_c,0.0010245553202581114,0.00044383463286694835,0.0017481165548144265,0.0012951332631630297,1.264093053400721,0.06770866743168477,0.029331214193374536,-0.0003436777938639959,6,0.0030263638589308976,freeze
h_r,beta,0.003858590346608094,0.002845068592941343,0.005231679041915449,0.001647619610953626,0.4270003972829018,0.2549984421219722,0.18801893794399202,-0.003858590346608094,8,0.0030263638589308976,RETAIN?
h_r,K,0.0007438351955651926,6.622515246193472e-05,0.001863823664132221,0.0015620814340212763,2.1000370019253403,0.04915702342731268,0.004376549255074016,0.00011790015582429769,9,0.0030263638589308976,freeze
h_r,mu_eff,0.003965270597392427,0.0012543707308365784,0.008077224013857284,0.0054287713597606525,1.369079669702902,0.26204850323537837,0.0828962272421335,0.0031642924411490487,8,0.0030263638589308976,RETAIN?
h_r,phi,0.00037426666075295674,0.0001537727573204637,0.0006543210219884013,0.00047356413276033104,1.2653120954124146,0.02473375167024175,0.010162212112510883,0.00020078760911875507,8,0.0030263638589308976,freeze
h_p,X,0.01111243571731609,0.007911859634830215,0.014936872969891891,0.004961843583391692,0.44651269169187074,1.0,0.7119824884567352,0.01111243571731609,9,0.0022224871434632183,RETAIN
h_p,h,0.0033121336940761365,0.0013181429037154389,0.0047368920877450945,0.0036212466503667,1.0933274393009627,0.2980564997928369,0.11861872025603049,-0.0018066513272982261,5,0.0022224871434632183,RETAIN?
h_p,w,0.005698867599462626,0.004023736066616402,0.007573280279644917,0.0026511296572036863,0.4652028865267328,0.5128369463215248,0.36209307922891876,-0.005698867599462626,10,0.0022224871434632183,RETAIN
h_p,eps_c,0.0013475257314865296,0.0006371423321692356,0.00219385003929607,0.0016171184908424737,1.2000650177258891,0.12126285953553197,0.057335974612334605,-0.0005721156236517885,6,0.0022224871434632183,freeze
h_p,beta,0.006004588404618917,0.004312889543888505,0.007665216011484835,0.002249910522738673,0.3746985423693606,0.5403485390032172,0.38811379013584674,-0.006004588404618917,8,0.0022224871434632183,RETAIN
h_p,K,0.003502541614772316,0.00159649731665073,0.005996440479701639,0.0037589303622828116,1.0732007712425602,0.3151911699533557,0.14366763122534587,0.0028489741900333773,9,0.0022224871434632183,RETAIN?
h_p,mu_eff,0.006381366438432533,0.0033707929298291217,0.009618863613808152,0.006339736589655392,0.9934763425390493,0.5742545199598941,0.303335201712487,0.00458949464242932,8,0.0022224871434632183,RETAIN
h_p,phi,0.0013330420381216417,0.00048734676372147006,0.00230422571656662,0.0017483896911471102,1.3115788108308462,0.11995948251420815,0.043855980463586026,0.0005944074998440969,8,0.0022224871434632183,freeze
